Lens and feed coordinates within the array global CS and probe rotation angle - Lens: Mrk1TxPCBv4_MockUpOnlyGoodForCalGeom - Array geometry: Mrk1_S2000_TLM_TX_ArrayGeometry_V20062022.csv - Array Tool Version 13102022,,,,,,,,,
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
3,38,-32.5,18.75,-15.82,9.91,160.5,160.5,250.5,205.5
3,39,-32.5,18.75,-15.43,14.9,160.5,250.5,250.5,205.5
3,40,-32.5,18.75,-15.04,19.88,160.5,160.5,250.5,205.5
3,41,-32.5,18.75,-14.64,24.87,160.5,250.5,250.5,205.5
3,42,-32.5,18.75,-18.77,27.7,160.5,160.5,250.5,205.5
3,43,-32.5,18.75,-22.89,30.53,160.5,250.5,250.5,205.5
3,44,-32.5,18.75,-27.01,33.36,160.5,160.5,250.5,205.5
3,45,-32.5,18.75,-31.13,36.2,160.5,250.5,250.5,205.5
3,46,-32.5,18.75,-35.64,34.04,160.5,160.5,250.5,205.5
3,47,-32.5,18.75,-40.15,31.89,160.5,250.5,250.5,205.5
3,48,-32.5,18.75,-44.67,29.74,160.5,160.5,250.5,205.5
3,49,-32.5,18.75,-49.18,27.59,160.5,250.5,250.5,205.5
3,50,-32.5,18.75,-49.57,22.6,160.5,160.5,250.5,205.5
3,51,-32.5,18.75,-49.96,17.62,160.5,250.5,250.5,205.5
3,52,-32.5,18.75,-50.36,12.63,160.5,160.5,250.5,205.5
3,53,-32.5,18.75,-50.75,7.65,160.5,250.5,250.5,205.5
3,54,-32.5,18.75,-46.63,4.82,160.5,160.5,250.5,205.5
3,55,-32.5,18.75,-42.51,1.98,160.5,250.5,250.5,205.5
3,56,-32.5,18.75,-38.39,-0.85,160.5,160.5,250.5,205.5
3,57,-32.5,18.75,-34.27,-3.68,160.5,250.5,250.5,205.5
3,58,-32.5,18.75,-29.75,-1.53,160.5,160.5,250.5,205.5
3,59,-32.5,18.75,-25.24,0.62,160.5,250.5,250.5,205.5
3,60,-32.5,18.75,-20.73,2.78,160.5,160.5,250.5,205.5
3,61,-32.5,18.75,-16.21,4.93,160.5,250.5,250.5,205.5
3,62,-32.5,18.75,-11.31,12.07,340.5,160.5,250.5,205.5
3,63,-32.5,18.75,-10.92,17.05,160.5,250.5,250.5,205.5
3,64,-32.5,18.75,-10.52,22.04,340.5,160.5,250.5,205.5
3,65,-32.5,18.75,-14.25,29.85,160.5,250.5,250.5,205.5
3,66,-32.5,18.75,-18.37,32.68,160.5,160.5,250.5,205.5
3,67,-32.5,18.75,-22.49,35.52,160.5,250.5,250.5,205.5
3,68,-32.5,18.75,-26.61,38.35,160.5,160.5,250.5,205.5
3,69,-32.5,18.75,-30.73,41.18,160.5,250.5,250.5,205.5
3,70,-32.5,18.75,-35.25,39.03,160.5,160.5,250.5,205.5
3,71,-32.5,18.75,-39.76,36.88,160.5,250.5,250.5,205.5
3,72,-32.5,18.75,-44.27,34.72,160.5,160.5,250.5,205.5
3,73,-32.5,18.75,-48.79,32.57,160.5,250.5,250.5,205.5
3,74,-32.5,18.75,-53.69,25.43,160.5,160.5,250.5,205.5
3,75,-32.5,18.75,-54.08,20.45,160.5,250.5,250.5,205.5
3,76,-32.5,18.75,-54.48,15.46,160.5,160.5,250.5,205.5
