OP_221219-21_58_03-None_QR440-0111-00036-rx_Beam2_HV_17.7_21.2_GHz_both_19.2_GHz_20C
date time, 19-12-22 21:58:03
itcc_runner_version, 1.2.4628
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo
lens_assembly name, None
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.6.8
f_s, 17.7
f_e, 21.2
# f_c, 19.2
Source power [dBm], -40
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],20
rfic temperatures,-86.50912821428571error reading rfic temperatures
barcodes,440-0111-00036
-26.38573978137757, 92.70521390208273, -26.01052227741608, 293.9000233250224, -25.09085750475311, 130.9883456195736, -23.61241846417486, 338.19405143311184, -22.89058337941571, 187.23347898407278, -20.17393925370623, 28.249710185664597, -18.212479081412297, 244.32691233161836, -17.188928903153986, 81.06697288874531, -13.501994747511322, 284.1050127291212, -12.514888067044737, 129.48174374716828, -11.080337838189585, 316.55079033721887, -9.036798423517583, 156.87274148741085, -10.622224657041016, 351.9808448716046, -10.5395265783994, 184.2117967760281, -11.13798924066667, 34.75822837320012, -12.303450221765344, 236.28538272565038, -12.152322116897746, 78.91278590598769, -13.420083872434452, 295.4969084147616, -13.724883374678543, 140.67532310957705, -12.338540426205595, 353.422093633225, -12.261354031606, 199.5441896959436, -12.321328206554687, 41.414159637500056, -12.237585692157172, 249.5828949589855, -12.889535922332733, 96.51991311679707, -12.454429283441455, 298.70295655172373, -12.576126179768082, 140.61270318505723, -13.632657448156145, 341.1262247507834, -14.835186213109084, 178.12265158602415, -17.06569976034522, 27.746056188468692, -18.238136332680895, 231.73437210548357, -19.698905122288263, 75.0319264856048, -22.556553642096834, 280.9433874208234, -25.26264272405381, 132.08392552717112, -28.877575993143907, 344.2449301275923, -32.56463994865563, 199.25321974427956, -36.1578848172715, 62.777175037768885
-31.47741605607919, 157.6300641173101, -31.539682688694416, 354.8452628997162, -29.601955857847454, 187.7074627546585, -28.116871182226404, 23.81759493696734, -27.38432165507338, 215.19585038264648, -25.179294063003162, 53.51094291792158, -24.01118337678071, 258.78328602311, -21.353156277160423, 97.53403954833097, -17.889035470696236, 303.0244665640421, -16.09480359300542, 144.77726761172343, -13.458049745837716, 337.53624770691283, -11.948080983681868, 179.35903031140822, -11.10625121201668, 13.908027156970455, -10.650744584920538, 208.5003482288, -10.863408355218995, 50.92135743515536, -11.656858311550383, 251.63941288464792, -11.90920105977784, 94.3592740660705, -12.692450822301609, 305.7652765795828, -13.748247585997095, 153.7143739758165, -13.352671102028202, 6.955081893545589, -13.282774454449173, 220.10326041203143, -13.225103650592995, 66.20965591884776, -12.660600102939378, 275.0699678586223, -12.288045994023989, 123.11052893035051, -11.197492379988127, 324.0756608377355, -10.768061051874993, 164.5551602446726, -11.533572551753984, 1.69478664480851, -12.227804331321213, 197.24528012666167, -13.636038089144494, 34.335565146923955, -16.11431001024917, 232.36462084002738, -19.300898106071482, 77.15904488578279, -22.148123401302513, 287.3009337197939, -25.549948089385342, 135.85614558884097, -30.86661059260875, 354.5804060201976, -36.745933306216784, 236.7676279811578, -37.226488483613636, 134.78160867767326
-27.001519602390495, 107.33568836172594, -26.206337015005623, 308.4148959716481, -25.0572339352032, 143.34055382927352, -23.59048168120552, 348.6262002887049, -23.20874757985948, 195.84170630881266, -20.857291055746554, 38.311074848923425, -19.01402411489546, 257.7728283653299, -17.707621622982106, 98.38963512039922, -13.283024225269852, 303.7619292127456, -11.600083782542805, 149.23839975376455, -9.470761446191949, 335.2000659750126, -6.763949754437979, 174.17440905000896, -7.632568860736613, 6.280095207770855, -7.016331949274099, 192.88456089810808, -7.4779477469684155, 37.44339183504884, -9.0310530617245, 235.064811362571, -9.150314196782318, 75.99803374365403, -10.599297020700835, 291.6874125584996, -11.128330675252762, 135.81927538201674, -10.059630992604946, 348.6561123890913, -10.175814932996726, 196.6676655033845, -10.208116538418356, 40.002995946923285, -10.083851277282164, 250.2778963946305, -10.431864407356734, 98.8230475289729, -9.651763352734894, 302.55593392588, -9.317064185788018, 144.18752230737914, -9.934805820402206, 344.1583091751981, -10.37735272421636, 179.24413319850703, -12.531903686450963, 17.224595632260897, -15.03701694928573, 216.56849540001767, -17.68982002276948, 62.43827117229175, -20.696239106621448, 270.6490178829285, -24.353267190499185, 120.83480096305745, -29.27631312566794, 339.2602311701835, -32.90479265650503, 208.92072348459845, -35.61942269373293, 89.33534459301285
-22.047678476085903, 258.113639394541, -22.736933734666106, 94.91459417118153, -22.153189204882644, 297.5153988028817, -21.620267058660122, 146.18385428172573, -21.56483572789405, 346.9927550988639, -20.32381759068651, 190.78677474403955, -20.495336716748614, 40.19351838134555, -19.48064225339943, 238.8447969042661, -17.84583390370617, 83.83307176101715, -17.245567556464827, 285.12365098729896, -15.440134869428363, 115.55484696199188, -14.643338110456078, 313.1632011250972, -14.750265091789295, 146.34822723693713, -14.821504367736939, 344.5484259341563, -14.848620232334753, 192.41186628451152, -14.724293548693193, 35.58684629822698, -14.191596362241494, 236.4027280662874, -14.336583798563831, 85.72088868321948, -14.736107467605287, 291.80392322109094, -13.769869409439778, 141.75825973234666, -13.455767062733354, 351.5456286732804, -13.563513391767216, 194.82666428054307, -13.442724234392923, 41.6126763616439, -13.911520330298773, 250.12025333277492, -13.404453266465683, 93.09134484567566, -13.356120091756551, 295.0461008639597, -14.545007250732132, 131.932550307469, -16.039746696663432, 328.39669697591614, -18.030802723447998, 165.4221807881625, -21.338812356537712, 1.2111350691429954, -25.54932759116231, 207.43757869974797, -29.01127080435963, 58.85089588914977, -31.98821429710845, 265.081181322985, -36.66166134125849, 114.06159769603966, -43.40116911060619, 344.29470390082327, -46.81400031004696, 237.12952868287567
-22.563950352533336, 282.01034808529914, -22.906217825334572, 120.91334055870546, -22.927174333938463, 314.26933930166393, -22.997255958286452, 157.81369472446758, -24.214792292632588, 8.537350842265152, -22.869590952221685, 214.9029872529926, -21.663581643949303, 74.87637196967668, -20.72544924503884, 273.2918038360681, -16.95510869094801, 116.47379522201753, -15.7060912865167, 320.69668517506847, -13.744659948343765, 145.6395878882215, -11.290751297238499, 342.85735227598923, -12.395455339722332, 175.2104741076173, -11.941793169614087, 3.680962735202791, -12.475749077508153, 209.41530605193716, -14.020739988590869, 49.92480352717603, -13.908503576841527, 252.95277924045823, -15.168865704877998, 110.36075587573586, -15.664606254816132, 317.0313163136027, -14.315463338452313, 172.6844971771593, -14.039624823298617, 22.51519140783992, -13.783573857501123, 227.0126992074925, -13.509298658609845, 77.32052077881116, -13.828780728576204, 287.3179670893273, -12.911121272003568, 133.96370825470262, -12.10157947243119, 337.96405266609855, -12.450322170732761, 178.03429484684824, -12.871808796103348, 15.813867688742867, -14.261022022624271, 219.66649234622164, -15.57427896618794, 59.81738717555069, -17.351573809476392, 262.9556170132336, -19.953507876983466, 108.64174017233604, -22.477983583280622, 319.16361769856786, -25.29962967452715, 169.9766012132439, -27.84453877909135, 21.523527960655567, -30.655216805716332, 236.10761888609986
-20.4774086216314, 290.36643730874397, -21.366551232854857, 127.74526694004464, -21.04685322582448, 332.86479261168415, -20.77723621573209, 185.95055267611397, -20.294797605620825, 36.11772153985929, -17.768805520925394, 245.88701232756563, -16.600079944728986, 97.92982866180611, -14.176646651271213, 296.5406432661924, -11.594962114100003, 138.77261288935864, -10.594508030177728, 337.00546905658496, -8.83616003018653, 165.36197531366403, -8.040600654569971, 2.875750280130296, -8.056779253613444, 193.89481182585754, -8.22183708595399, 28.92621209540494, -8.405381516236421, 233.35212086890797, -8.599211317585176, 75.24921592892217, -7.8339741312875955, 275.2295955497673, -7.76633278560578, 120.87890329192055, -8.140122958859733, 321.7771108479102, -7.489299514853799, 167.70614375061882, -7.5311849606341355, 14.341864573890588, -8.080227098428598, 216.39498307921332, -8.289235346923252, 64.60348154288526, -8.734683240982765, 274.9739263582305, -8.158072797838955, 121.61223536122394, -7.642716067230562, 327.1018583114751, -8.159180492285271, 166.9611478935325, -8.803628513953138, 4.889819879318681, -10.092506393143443, 205.52557157837, -12.104668448052003, 45.149343935402555, -14.551214138926554, 248.87483149022356, -16.9143343112002, 96.78885026730403, -19.446321796193132, 300.5126356222164, -23.334951041907207, 148.2668502725225, -28.08586116746457, 3.1447003559075153, -32.55527372593014, 230.50591737348878
-23.07816725849763, 316.77780700430037, -23.290769957613804, 159.21645660547475, -23.083447570961987, 357.4606306230731, -22.452523137477755, 205.74083229931233, -22.619560493721075, 56.33651105793062, -20.47729645676137, 258.80509609600165, -18.887227791219438, 113.17691874641788, -18.211353880136212, 306.07474689003914, -15.071966762443074, 143.59683864769934, -14.79075876102758, 343.2360782785601, -13.955236148587522, 165.881535253615, -12.42888485824672, 3.836799365619954, -14.24308139054433, 197.16414651616782, -14.240572540936437, 28.595250514450846, -14.524295635542435, 238.52332955158062, -15.263173115217443, 80.29746886498567, -14.0944114749642, 283.6477915657254, -14.033310344774911, 137.41339952091104, -13.577605695296054, 335.7321593993673, -12.072211025221737, 183.0480446830721, -12.15717926748572, 26.41133986275539, -12.43463653238187, 228.68434166956405, -12.335139038133285, 80.14340174397582, -12.589353784762057, 290.60670668807535, -11.500576741029631, 136.65815154508692, -10.628830310600218, 340.9210113897024, -10.648566352849757, 181.73006464080825, -10.86520533501869, 17.987350457519476, -12.056102430414244, 217.31999237457666, -13.907152644746567, 54.817789632571056, -16.18212179682397, 259.78398167801737, -18.57517641904718, 107.82653596995918, -20.936518304379078, 312.82378983080895, -24.537204308966306, 159.1961187669957, -28.40169432831217, 4.981337823352171, -33.92833375422035, 216.39588879113714
-23.75912021729711, 147.22400416856914, -24.673932800904037, 340.50722400415015, -24.016342603654756, 180.0175722636658, -23.539685654582026, 25.940193950105552, -22.80668734802618, 227.46064413888791, -19.81485135162036, 69.81659799044539, -18.328174989796636, 276.10537423792863, -15.337455665815977, 111.41853789665909, -11.730342120364297, 311.1077536332595, -9.888692608598399, 145.08892533927107, -7.81196059405503, 329.1117546147176, -7.342006830773368, 165.19841069613747, -7.695558822511809, 357.7039388373462, -8.145017785174732, 195.05257735480637, -8.628036299219419, 40.96403498081498, -9.305587292478675, 244.18835333049165, -9.031494000958606, 87.47473532324726, -9.165710785048038, 296.8170071067554, -9.684945773620763, 139.91509397737235, -9.213327435286354, 346.8563739306612, -9.24817202002711, 193.97575556141027, -9.78164575324126, 35.05479403887461, -10.126845281629242, 241.63487754738424, -10.611737141498788, 91.68608277548485, -9.996742819162028, 297.00711394716103, -9.557323532516252, 142.3690038552988, -10.047115031942377, 343.15366463415324, -10.129655329476774, 181.74844642352102, -10.957387651041817, 20.12482914190507, -12.983696842226164, 217.62656049312648, -15.594356675118796, 61.1900049510759, -18.534151415483407, 272.195353572007, -21.40411460928634, 126.38841432871665, -24.190413416568447, 342.99553740077727, -27.731563090517987, 201.6284150726642, -31.00125883270517, 67.65965552186177
-27.09255471118356, 152.43174437197263, -26.9205050538004, 353.4587083717455, -26.14688857304482, 188.8641241022954, -24.903574940070598, 34.91647691317139, -24.309053501719426, 244.73277382191202, -21.20204465378712, 88.05159048836106, -18.469961862037664, 303.2564974304108, -16.559012879711858, 136.45732967211993, -12.33477483105942, 334.02392154464206, -11.324206742562842, 173.99811862013343, -9.930132844320323, 358.9041851281461, -7.9462828685320375, 198.13923509120332, -9.420821185402229, 33.864039266583426, -9.04496757348444, 226.3647620917313, -9.170948354246512, 76.40925083533259, -10.007379544404543, 277.39324027085297, -9.133132858035662, 119.56469931667503, -9.640340509076367, 331.8014847374478, -9.84870046508679, 170.0454391199085, -8.935098795388717, 17.876168750108967, -9.463353618918187, 222.76632992805364, -9.850917204671966, 64.45166895695439, -10.318312551752381, 273.66111610238545, -11.116853199975377, 124.89669804072142, -10.306376441668634, 331.8997558001791, -9.571572331616283, 176.34976432510118, -9.745551188923688, 17.473484521812857, -9.849954739679479, 215.05364181492803, -10.78915981723799, 52.78241408182137, -12.433722596760417, 248.982113189528, -14.578053384834547, 92.41734088097004, -16.751668091608526, 300.7156922208816, -18.449375813581653, 145.55619191561928, -21.68453203520675, 347.56197320031373, -25.30337600560052, 189.0771571724444, -30.649160595493306, 36.92875736714436
-24.611577812519833, 293.29181953027637, -24.11596141577171, 127.96553142449, -22.69863446029712, 324.84246905596723, -22.271442109687708, 167.84172762470212, -22.506040130040624, 6.738803937192365, -21.343740185248507, 211.2731184004308, -21.647193256386117, 62.73661547634422, -20.47285729945009, 264.8074957322124, -18.20285768215158, 112.53979356993361, -17.139829869410526, 314.84665330279876, -14.934565432588043, 144.4055980696515, -13.81350280334986, 341.40626912829265, -13.356064657322946, 171.88806107470367, -13.111049832743502, 5.636835050447112, -13.242467000700223, 207.81402350093342, -13.85385480810615, 48.3670592250238, -13.853904788664197, 251.85469239045938, -14.166511855604734, 105.72904009941907, -14.387218918815712, 316.45681619721114, -12.964652321433444, 171.75194755489332, -11.75910164400116, 24.713486531750753, -10.916005080759621, 228.52964046679494, -10.223003965266455, 74.23816384795703, -10.188979089388672, 282.3946667928995, -9.227446181305428, 125.89782202807854, -8.60462868963295, 328.1065153737033, -9.197757820405485, 163.77444700640507, -10.083629854335454, 358.30625119565565, -12.629179538773718, 196.0903357308654, -15.759012694863205, 37.905879790439236, -18.10948651311283, 244.94861746563822, -21.715653964486542, 91.29958489087448, -25.157295020484614, 302.9514273552766, -29.078339037482927, 157.6550113546286, -33.23248185448743, 17.996095252808082, -36.77828041573032, 251.54094850574586
