RFA_240701-17_17_55-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam2_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:55
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,40.34595636842105
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
0.0, 347.762481807962, 0.10006168906482324, 52.49391300290406, 1.5721228076241078, 114.30726649564075, 3.08323783868345, 180.03786924054725, 4.627067193014044, 246.58916910581627, 5.927844019965077, 316.18080318218546, 6.81199240816674, 27.825309933858502, 7.475076953389862, 96.70195101676744, 8.281648582397057, 166.24470540832382, 8.911814975834817, 234.26856719314648, 9.515360732345696, 306.4935079824737, 9.850381735701125, 18.9700911621783, 9.76078050986942, 90.19096457023875, 8.80447179814016, 161.24566037349987, 7.931351905023307, 227.7731636256145, 7.188250829716424, 289.9892944848855, 6.989205248493665, 352.0810903062829, 6.386743045308495, 55.20787025536803, 0.0, 118.98117531264855, 0.0, 177.23620537062774, 0.0, 237.26936025041528, 0.0, 297.69223224916624, 0.0, 358.8032258900122, 7.506820025637806, 64.33921220599, 7.757095267353677, 130.30470208723904, 7.985401840079728, 199.21040257227048, 7.346459788608531, 267.0759641704909, 6.993863908743637, 332.4072902312625, 6.033369441765806, 38.53317567013953, 5.0343660551202, 102.74579577891059, 4.399623566088647, 161.08155026224136, 4.08817922840839, 216.5812482964854, 5.0609318568769055, 277.81675790398646, 5.407038598612778, 342.628996940816, 6.048870716262646, 51.00827402417821, 5.652270758821295, 122.23936048244605
0.0, 66.66234501679473, 0.0, 133.47538432813192, 0.0, 197.94033176496816, 0.0, 258.9203564893004, 0.0, 324.81455134163457, 0.0, 34.10497993622793, 0.0, 108.26339078739274, 0.0, 180.68976309238846, 0.0, 249.58291511180815, 0.5020825113371183, 318.66121214719885, 1.0616796350347393, 31.084545913536825, 1.9027155522786796, 99.76737473142714, 1.9833832215472222, 173.12260485456088, 2.05013341885671, 243.82873508445132, 2.041871990566501, 314.42189482078453, 1.913149867067423, 20.460309000699407, 1.8793480165502658, 88.75314625571656, 1.738059628339358, 154.08698782876658, 0.0, 220.07304630410061, 0.0, 287.60007319824444, 0.0, 352.27556024221155, 0.0, 61.17826256462455, 0.0, 128.68410147790064, 3.2230782148881243, 197.59521591906895, 3.690239066328836, 269.920165644751, 3.462661917465179, 337.3201158166328, 3.0130260793079913, 46.30508169451599, 2.9040012221114515, 113.05986187930387, 2.99483192763128, 178.9624364205134, 2.7602519406629282, 250.46099827460876, 2.479310130095857, 320.42750289716344, 1.9781233500337991, 29.59363491637803, 1.5312718451176013, 96.96161370888505, 1.0519525411553352, 161.54132353518023, 1.161141143878, 233.9114973267651, 0.5703273182698753, 303.9569291379853
0.0, 293.85354186730774, 0.0, 357.8898021484859, 0.0, 60.3358417184702, 0.0, 126.9270131537655, 0.0, 196.61649478024805, 0.9891292243430443, 267.75745360629935, 2.2792135887850034, 344.18387589071136, 3.0963144835381655, 59.22023114211443, 3.7684802688164183, 132.76749380454686, 4.501607473743647, 206.0649816829477, 4.740158354058035, 282.870026255504, 4.852415278118282, 356.9745375965317, 4.416021842371059, 71.67280601640066, 3.5114087106789005, 144.28722309621628, 2.4899270853888202, 213.512063251461, 1.3058175840873738, 277.6546770596912, 0.9603864997644135, 339.04224811184974, 0.4135666226147308, 39.12249024777432, 0.0, 99.44143842795282, 0.0, 163.08706039468788, 0.0, 229.26720992740454, 0.0, 297.68407337698517, 0.0, 6.391199420866981, 4.3646524139875895, 74.59585048366637, 4.4850826389206695, 143.44814377068397, 4.959831884145397, 212.4022893348677, 4.937170415493077, 281.4733401860012, 5.332946693782965, 350.60196425140987, 5.693427583684328, 61.16481574707881, 5.5350675296705525, 136.83751011273753, 5.0421354274856425, 208.11628733881344, 4.3196849868991585, 276.4454365949488, 3.953337636801585, 347.6126484933136, 3.172390869628088, 53.995097493533734, 3.040870979629621, 123.61565677384712, 2.434195068232942, 194.5380648628274
0.0, 292.88510774689496, 0.0, 358.8542779799879, 0.0, 67.17282985797668, 1.0672723351056035, 137.92207780712607, 2.9242955816816, 211.68146531007983, 4.521199116941573, 287.3616521181681, 5.4214208826430035, 6.448126901122985, 5.883769785748144, 84.58548796795148, 6.0408614265533265, 160.0209792773373, 6.0855537354759095, 235.15622915416873, 5.812476191037862, 309.9433465885842, 5.836080379925895, 21.340463065201966, 5.1908718709223045, 95.96053845268793, 4.407838602870103, 168.9184856162253, 3.605269261559533, 238.8660048974187, 2.8698045639998893, 305.1574466248678, 2.0727793076213827, 11.939780913690798, 1.2351460720827492, 74.25789302546445, 0.0, 137.46085284228488, 0.0, 200.79280693087028, 0.0, 261.57880388239334, 0.0, 326.76019482427586, 0.0, 31.80188264145766, 3.6703628199868903, 98.93162382256752, 4.447392898974377, 171.34699299876127, 4.686665967585128, 240.11162624214575, 4.763093315687738, 310.3121143026293, 5.0571977035034665, 17.838609235916085, 5.724336735190056, 86.08682559471674, 6.054268283327686, 160.56922547361157, 6.429013553029732, 234.09026757180686, 6.13774481154128, 308.5572941319117, 5.850280618317188, 20.905799401708066, 5.14495325072282, 92.66552668203231, 4.894888013129715, 169.13633597026055, 3.8250906474723605, 241.08016925084087
0.0, 241.50486070218022, 0.0, 308.9089336255803, 0.0, 15.205655643484103, 0.0, 81.94786269316734, 0.0, 151.74793271732202, 0.43032392687415927, 222.60290811930378, 1.9882682698668739, 299.166973785138, 2.380330823530564, 13.87830522797494, 3.4010524541294487, 84.94132854624854, 4.074200533562541, 158.16375483855987, 4.559027461854733, 231.09160350129005, 5.276856828047267, 303.76492890867496, 5.444792384083104, 17.106587865466217, 5.517760528763581, 87.26000072149044, 5.691381763837824, 157.99336077403407, 5.806208954998252, 224.9638571632651, 6.59226151162427, 295.026500305574, 6.561129417978089, 6.235844139485578, 2.068592540513116, 76.86947909843803, 1.8947687379587839, 149.35864345700347, 1.8881673471490732, 218.29019122292613, 2.026508781351026, 288.18932027857875, 1.8732508829863486, 358.5714662165389, 7.4551256287854635, 67.31100521781795, 7.231277889969804, 138.17513603123805, 7.259262170327379, 208.41829032600043, 6.9651234641703095, 277.67313379761106, 7.0068778103800735, 346.4674020907635, 7.208307659131812, 55.30679131322447, 7.208454218668699, 130.96377894677542, 6.870132588120609, 201.19867523272774, 6.572091864651491, 271.55678099196825, 6.267781659505646, 344.7464375977884, 5.584433520553102, 53.752746317179515, 5.448530468535742, 127.65847333992463, 4.4130775403928295, 202.19220887299983
0.0, 302.81586810653164, 0.0, 13.860502899950026, 0.0, 82.42000297009761, 0.0, 153.1064904574243, 0.0, 223.95416816192127, 0.0, 299.35570922022885, 0.2354780117111899, 14.639646705581063, 0.9048146320102695, 89.25504196438699, 1.1248659780380845, 161.1334142330003, 1.5390801860312175, 230.43804145280848, 1.910590375071493, 304.4380688254378, 2.27444427860417, 12.087014819904379, 2.522573272491209, 84.63701496434254, 2.333735060297691, 156.49361851614876, 2.5773964977107395, 224.41864042131914, 2.974643887755583, 291.1257239535256, 3.364676726854106, 0.6426268946184582, 3.83210867122983, 69.14112313974668, 0.0, 141.49808845087003, 0.0, 213.20246487638138, 0.0, 282.8355927148756, 0.0, 354.33726891539305, 0.0, 64.76271651279173, 4.790111065634036, 135.42948674762275, 5.243874656604848, 207.87371555413017, 4.902727045929497, 279.8264258673911, 4.235605122618529, 350.61381341571513, 4.164059274726022, 57.92230958073602, 4.095471897838151, 127.04770853333862, 3.735009578797403, 199.33738439906045, 3.534463709529216, 269.733335188544, 2.775010640254022, 338.7099927759365, 2.964687122258329, 43.19386522908809, 3.00988657397868, 113.05704221714534, 3.6006344442559395, 185.70653083209217, 3.774036457923436, 261.6644455774981
0.0, 187.34658427849064, 0.0, 252.3518122998907, 0.0, 319.29304558118287, 0.0, 26.996516091701885, 0.0, 95.91118042899453, 0.0, 170.30164819922825, 0.7800019864127045, 247.4536126663245, 1.5441839755711855, 322.98099671612397, 2.0346737602887153, 38.7407223134655, 2.5336822954240845, 111.82586770767509, 2.804309164899931, 189.29993174662192, 2.8595819724074385, 262.13975378201906, 2.680586064453907, 337.7821995435973, 1.6970278169819533, 48.37008369430837, 1.2785518139658163, 117.0187166825929, 0.8622617679974086, 181.06559957355495, 1.4760167624584315, 243.6468073493079, 1.9603155464829052, 312.19124989196445, 0.0, 22.120290444143944, 0.0, 92.31990713305643, 0.0, 164.65024693731095, 0.0, 235.31020785987658, 0.0, 305.1956191680413, 3.6343726231481726, 14.596163049512574, 3.4094893100774826, 82.70473000347371, 3.6749243401664278, 152.8710863640483, 3.6320823579129904, 220.54271995089923, 4.132225492064622, 290.1424760147645, 4.562247501864371, 1.0631468944846656, 4.823116962272607, 77.54880642968503, 4.6965259674118105, 150.62453025153388, 4.096967993350875, 222.11066074430866, 3.8691963589234297, 296.1335382121763, 3.159761247950961, 7.371550572118567, 2.9920057579196992, 79.99013836093144, 2.107551149340205, 153.15775443854966
0.0, 28.322691956316216, 0.0, 100.65153378201131, 0.0, 173.35098820354764, 1.5749112154304798, 247.73057266884166, 2.726605144504764, 322.37543992247987, 3.576950131166053, 39.13397765969783, 3.7531977005583124, 117.39250670956056, 3.7773979445945045, 192.45869059509215, 3.4819372962024495, 264.46904413610775, 3.2540607942295487, 334.23990001515904, 3.010410975729493, 45.836633799944224, 2.8528002283857505, 111.32851634050056, 2.711719398848888, 178.92013285381745, 2.4551558398170843, 247.1458290306927, 2.622860895664829, 311.1761205620402, 3.1458699433620967, 15.803852277224841, 3.6378741883986647, 82.03493785917321, 4.39833882620093, 148.744924753802, 0.0, 219.65317428396116, 0.0, 289.26213553025093, 0.0, 357.35480878801445, 0.2667265090950659, 68.57411222462842, 0.6383128603825383, 137.26351230804363, 6.756281105519786, 206.9344685712706, 7.255008814307891, 278.3331863811854, 7.312174843872176, 348.9551309006616, 7.1174849698940275, 59.02314752482776, 7.578001717507372, 126.49393716407883, 7.784341359802798, 196.52640768163383, 7.892515531593825, 270.0472482365229, 8.036673976073311, 343.51255470531544, 7.412740868681448, 55.711434142472996, 7.522851848896829, 125.16402451857884, 6.938267656146046, 196.6941489609789, 7.070106305101872, 271.1783930516995, 6.745143039245056, 344.1245311437922
0.0, 116.50058132900489, 0.0, 185.13510122684735, 0.0, 253.7975998143811, 0.5430663657434004, 325.47025000474554, 2.215817398306642, 36.32010272163828, 3.5167948398913835, 108.81154760608584, 4.726250831665537, 183.71467701423225, 5.696019918720642, 257.03545728961615, 6.423455592761447, 330.8819507251635, 7.441093223023545, 41.40182320166883, 8.251016503080105, 117.25361782234947, 8.988863898674177, 190.55751927832085, 9.633220579772573, 265.927880632137, 9.568961008602862, 339.83049809951467, 10.006894452903094, 53.78919258273328, 10.125726874747013, 126.34335454442306, 10.157944395465549, 199.92281279670948, 9.725075829805036, 273.0602369689542, 3.5914673994539035, 346.4075096664729, 2.9650864183523544, 55.47876092980397, 2.823944655768355, 124.64975007952917, 2.5888668446628276, 191.8532768889074, 2.903427280024011, 261.84965309595214, 8.912194335852517, 333.2253449732637, 8.777163264857945, 45.07812283936702, 8.338595453955575, 118.96778847115628, 7.622762915704109, 190.08937157766084, 7.039347987715024, 259.3610890086146, 6.480332616408807, 329.41174992644534, 5.626311805948017, 41.91686728938768, 5.110879181434313, 110.48552775873273, 4.186487813605893, 178.3917505587797, 3.6901052746312857, 247.7912894811559, 2.8983647863679307, 315.52956562046086, 2.620319534743934, 24.436357398225287, 1.529161668005602, 98.48543109929378
0.0, 135.1841693674443, 0.0, 204.95037130240604, 0.0, 273.0419410229256, 0.0, 341.284725324222, 0.05944237557247379, 51.58906260517337, 1.7817689174023312, 124.65346358355109, 2.4946516309357616, 202.3908240395101, 3.309752689154233, 278.74913372085996, 3.502710910239699, 354.45723649601257, 3.5987643870996537, 66.0343533900899, 3.898350006001281, 141.5612440668077, 3.85401400106966, 213.70657648361686, 3.570228947493411, 288.312344021087, 2.5551609469944703, 4.610188390274326, 1.7457353539828886, 72.01875916665884, 0.9335891028687492, 139.2105679882088, 0.19626801493577709, 207.25805743790266, 0.0, 272.73991366133544, 0.0, 343.1844032594911, 0.0, 46.14907112260052, 0.0, 105.42411685598015, 0.0, 160.85206582899528, 0.0, 215.70364190250046, 0.0, 274.3104878736251, 0.0, 339.9137824573859, 0.7654071986649963, 46.87148154314971, 1.6758460907891988, 115.71740134068388, 2.850975477674012, 186.24999810752666, 3.4012360570569733, 257.5341350125552, 3.693050331284958, 333.74498300885006, 3.8580839446622646, 48.30505640036477, 3.1292679219987223, 123.22644785152009, 2.65784855639879, 191.6956685360167, 1.788733449153349, 262.2350314239294, 1.6742680479978922, 334.29115669647473, 1.0577306366794244, 45.90655177613085
