Lens and feed coordinates within the array global CS and probe rotation angle - Lens: Mrk1TxPCBv4_MockUpOnlyGoodForCalGeom - Array geometry: Mrk1_S2000_TLM_TX_ArrayGeometry_V20062022.csv - Array Tool Version 13102022
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
2.00,8.00,32.50,18.75,27.54,11.22,57.75,57.75,147.75,102.75
2.00,9.00,32.50,18.75,32.32,9.74,57.75,147.75,147.75,102.75
2.00,10.00,32.50,18.75,35.99,13.13,57.75,57.75,147.75,102.75
2.00,11.00,32.50,18.75,39.66,16.53,57.75,147.75,147.75,102.75
2.00,12.00,32.50,18.75,38.56,21.40,57.75,57.75,147.75,102.75
2.00,13.00,32.50,18.75,37.46,26.28,57.75,147.75,147.75,102.75
2.00,14.00,32.50,18.75,32.68,27.76,57.75,57.75,147.75,102.75
2.00,15.00,32.50,18.75,27.91,29.24,57.75,147.75,147.75,102.75
2.00,16.00,32.50,18.75,24.23,25.85,57.75,57.75,147.75,102.75
2.00,17.00,32.50,18.75,20.56,22.46,57.75,147.75,147.75,102.75
2.00,18.00,32.50,18.75,21.67,17.58,57.75,57.75,147.75,102.75
2.00,19.00,32.50,18.75,22.77,12.70,57.75,147.75,147.75,102.75
2.00,20.00,32.50,18.75,23.87,7.83,57.75,57.75,147.75,102.75
2.00,21.00,32.50,18.75,28.65,6.34,57.75,147.75,147.75,102.75
2.00,22.00,32.50,18.75,33.42,4.86,57.75,57.75,147.75,102.75
2.00,23.00,32.50,18.75,37.09,8.26,57.75,147.75,147.75,102.75
2.00,24.00,32.50,18.75,40.77,11.65,57.75,57.75,147.75,102.75
2.00,25.00,32.50,18.75,44.44,15.04,57.75,147.75,147.75,102.75
2.00,26.00,32.50,18.75,43.33,19.92,57.75,57.75,147.75,102.75
2.00,27.00,32.50,18.75,42.23,24.80,57.75,147.75,147.75,102.75
2.00,28.00,32.50,18.75,41.13,29.67,57.75,57.75,147.75,102.75
2.00,29.00,32.50,18.75,36.35,31.16,57.75,147.75,147.75,102.75
2.00,30.00,32.50,18.75,31.58,32.64,57.75,57.75,147.75,102.75
2.00,31.00,32.50,18.75,26.80,34.12,57.75,147.75,147.75,102.75
2.00,32.00,32.50,18.75,23.13,30.73,57.75,57.75,147.75,102.75
2.00,33.00,32.50,18.75,19.46,27.33,57.75,147.75,147.75,102.75
2.00,34.00,32.50,18.75,15.79,23.94,57.75,57.75,147.75,102.75
2.00,35.00,32.50,18.75,16.89,19.06,57.75,147.75,147.75,102.75
2.00,36.00,32.50,18.75,17.99,14.19,57.75,57.75,147.75,102.75
2.00,37.00,32.50,18.75,19.10,9.31,57.75,147.75,147.75,102.75
2.00,38.00,32.50,18.75,20.20,4.43,57.75,57.75,147.75,102.75
2.00,39.00,32.50,18.75,24.98,2.95,57.75,147.75,147.75,102.75
2.00,40.00,32.50,18.75,29.75,1.47,57.75,57.75,147.75,102.75
2.00,41.00,32.50,18.75,34.53,-0.02,57.75,147.75,147.75,102.75
2.00,42.00,32.50,18.75,38.20,3.38,57.75,57.75,147.75,102.75
2.00,43.00,32.50,18.75,41.87,6.77,57.75,147.75,147.75,102.75
2.00,44.00,32.50,18.75,45.54,10.17,57.75,57.75,147.75,102.75
2.00,45.00,32.50,18.75,49.21,13.56,57.75,147.75,147.75,102.75
2.00,46.00,32.50,18.75,48.11,18.44,57.75,57.75,147.75,102.75
2.00,47.00,32.50,18.75,47.01,23.31,57.75,147.75,147.75,102.75
2.00,48.00,32.50,18.75,45.90,28.19,57.75,57.75,147.75,102.75
2.00,49.00,32.50,18.75,44.80,33.07,57.75,147.75,147.75,102.75
2.00,50.00,32.50,18.75,40.02,34.55,57.75,57.75,147.75,102.75
2.00,51.00,32.50,18.75,35.25,36.03,57.75,147.75,147.75,102.75
2.00,52.00,32.50,18.75,30.47,37.52,57.75,57.75,147.75,102.75
2.00,53.00,32.50,18.75,25.70,39.00,57.75,147.75,147.75,102.75
2.00,54.00,32.50,18.75,22.03,35.60,57.75,57.75,147.75,102.75
2.00,55.00,32.50,18.75,18.36,32.21,57.75,147.75,147.75,102.75
2.00,56.00,32.50,18.75,14.68,28.82,57.75,57.75,147.75,102.75
2.00,57.00,32.50,18.75,11.01,25.42,57.75,147.75,147.75,102.75
2.00,58.00,32.50,18.75,12.12,20.55,57.75,57.75,147.75,102.75
2.00,59.00,32.50,18.75,13.22,15.67,57.75,147.75,147.75,102.75
2.00,60.00,32.50,18.75,14.32,10.79,57.75,57.75,147.75,102.75
2.00,61.00,32.50,18.75,15.43,5.92,57.75,147.75,147.75,102.75
2.00,62.00,32.50,18.75,21.31,-0.44,237.75,57.75,147.75,102.75
2.00,63.00,32.50,18.75,26.08,-1.93,57.75,147.75,147.75,102.75
2.00,64.00,32.50,18.75,30.85,-3.41,237.75,57.75,147.75,102.75
2.00,65.00,32.50,18.75,39.30,-1.50,57.75,147.75,147.75,102.75
2.00,66.00,32.50,18.75,42.97,1.90,57.75,57.75,147.75,102.75
2.00,67.00,32.50,18.75,46.64,5.29,57.75,147.75,147.75,102.75
2.00,68.00,32.50,18.75,50.32,8.68,57.75,57.75,147.75,102.75
2.00,69.00,32.50,18.75,53.99,12.08,57.75,147.75,147.75,102.75
2.00,70.00,32.50,18.75,52.88,16.95,57.75,57.75,147.75,102.75
2.00,71.00,32.50,18.75,51.78,21.83,57.75,147.75,147.75,102.75
2.00,72.00,32.50,18.75,50.68,26.71,57.75,57.75,147.75,102.75
2.00,73.00,32.50,18.75,49.57,31.58,57.75,147.75,147.75,102.75
2.00,74.00,32.50,18.75,43.69,37.94,57.75,57.75,147.75,102.75
2.00,75.00,32.50,18.75,38.92,39.43,57.75,147.75,147.75,102.75
2.00,76.00,32.50,18.75,34.15,40.91,57.75,57.75,147.75,102.75
3.00,1.00,-32.50,18.75,-32.70,16.26,160.50,250.50,250.50,205.50
3.00,2.00,-32.50,18.75,-28.18,18.41,160.50,160.50,250.50,205.50
3.00,3.00,-32.50,18.75,-32.30,21.24,160.50,250.50,250.50,205.50
3.00,4.00,-32.50,18.75,-36.82,19.09,160.50,160.50,250.50,205.50
3.00,5.00,-32.50,18.75,-37.21,14.11,160.50,250.50,250.50,205.50
3.00,6.00,-32.50,18.75,-33.09,11.27,160.50,160.50,250.50,205.50
3.00,7.00,-32.50,18.75,-28.58,13.43,160.50,250.50,250.50,205.50
3.00,8.00,-32.50,18.75,-24.06,15.58,160.50,160.50,250.50,205.50
3.00,9.00,-32.50,18.75,-23.67,20.56,160.50,250.50,250.50,205.50
3.00,10.00,-32.50,18.75,-27.79,23.39,160.50,160.50,250.50,205.50
3.00,11.00,-32.50,18.75,-31.91,26.23,160.50,250.50,250.50,205.50
3.00,12.00,-32.50,18.75,-36.42,24.07,160.50,160.50,250.50,205.50
3.00,13.00,-32.50,18.75,-40.94,21.92,160.50,250.50,250.50,205.50
3.00,14.00,-32.50,18.75,-41.33,16.94,160.50,160.50,250.50,205.50
3.00,15.00,-32.50,18.75,-41.72,11.95,160.50,250.50,250.50,205.50
3.00,16.00,-32.50,18.75,-37.60,9.12,160.50,160.50,250.50,205.50
3.00,17.00,-32.50,18.75,-33.48,6.29,160.50,250.50,250.50,205.50
3.00,18.00,-32.50,18.75,-28.97,8.44,160.50,160.50,250.50,205.50
3.00,19.00,-32.50,18.75,-24.46,10.59,160.50,250.50,250.50,205.50
3.00,20.00,-32.50,18.75,-19.94,12.75,160.50,160.50,250.50,205.50
3.00,21.00,-32.50,18.75,-19.55,17.73,160.50,250.50,250.50,205.50
3.00,22.00,-32.50,18.75,-19.16,22.72,160.50,160.50,250.50,205.50
3.00,23.00,-32.50,18.75,-23.28,25.55,160.50,250.50,250.50,205.50
3.00,24.00,-32.50,18.75,-27.40,28.38,160.50,160.50,250.50,205.50
3.00,25.00,-32.50,18.75,-31.52,31.21,160.50,250.50,250.50,205.50
3.00,26.00,-32.50,18.75,-36.03,29.06,160.50,160.50,250.50,205.50
3.00,27.00,-32.50,18.75,-40.54,26.91,160.50,250.50,250.50,205.50
3.00,28.00,-32.50,18.75,-45.06,24.75,160.50,160.50,250.50,205.50
3.00,29.00,-32.50,18.75,-45.45,19.77,160.50,250.50,250.50,205.50
3.00,30.00,-32.50,18.75,-45.84,14.78,160.50,160.50,250.50,205.50
3.00,31.00,-32.50,18.75,-46.23,9.80,160.50,250.50,250.50,205.50
3.00,32.00,-32.50,18.75,-42.11,6.97,160.50,160.50,250.50,205.50
3.00,33.00,-32.50,18.75,-37.99,4.14,160.50,250.50,250.50,205.50
3.00,34.00,-32.50,18.75,-33.87,1.30,160.50,160.50,250.50,205.50
3.00,35.00,-32.50,18.75,-29.36,3.46,160.50,250.50,250.50,205.50
3.00,36.00,-32.50,18.75,-24.85,5.61,160.50,160.50,250.50,205.50
3.00,37.00,-32.50,18.75,-20.33,7.76,160.50,250.50,250.50,205.50
3.00,38.00,-32.50,18.75,-15.82,9.91,160.50,160.50,250.50,205.50
3.00,39.00,-32.50,18.75,-15.43,14.90,160.50,250.50,250.50,205.50
3.00,40.00,-32.50,18.75,-15.04,19.88,160.50,160.50,250.50,205.50
3.00,41.00,-32.50,18.75,-14.64,24.87,160.50,250.50,250.50,205.50
3.00,42.00,-32.50,18.75,-18.77,27.70,160.50,160.50,250.50,205.50
3.00,43.00,-32.50,18.75,-22.89,30.53,160.50,250.50,250.50,205.50
3.00,44.00,-32.50,18.75,-27.01,33.36,160.50,160.50,250.50,205.50
3.00,45.00,-32.50,18.75,-31.13,36.20,160.50,250.50,250.50,205.50
3.00,46.00,-32.50,18.75,-35.64,34.04,160.50,160.50,250.50,205.50
3.00,47.00,-32.50,18.75,-40.15,31.89,160.50,250.50,250.50,205.50
3.00,48.00,-32.50,18.75,-44.67,29.74,160.50,160.50,250.50,205.50
3.00,49.00,-32.50,18.75,-49.18,27.59,160.50,250.50,250.50,205.50
3.00,50.00,-32.50,18.75,-49.57,22.60,160.50,160.50,250.50,205.50
3.00,51.00,-32.50,18.75,-49.96,17.62,160.50,250.50,250.50,205.50
3.00,52.00,-32.50,18.75,-50.36,12.63,160.50,160.50,250.50,205.50
3.00,53.00,-32.50,18.75,-50.75,7.65,160.50,250.50,250.50,205.50
3.00,54.00,-32.50,18.75,-46.63,4.82,160.50,160.50,250.50,205.50
3.00,55.00,-32.50,18.75,-42.51,1.98,160.50,250.50,250.50,205.50
3.00,56.00,-32.50,18.75,-38.39,-0.85,160.50,160.50,250.50,205.50
3.00,57.00,-32.50,18.75,-34.27,-3.68,160.50,250.50,250.50,205.50
3.00,58.00,-32.50,18.75,-29.75,-1.53,160.50,160.50,250.50,205.50
3.00,59.00,-32.50,18.75,-25.24,0.62,160.50,250.50,250.50,205.50
3.00,60.00,-32.50,18.75,-20.73,2.78,160.50,160.50,250.50,205.50
3.00,61.00,-32.50,18.75,-16.21,4.93,160.50,250.50,250.50,205.50
3.00,62.00,-32.50,18.75,-11.31,12.07,340.50,160.50,250.50,205.50
3.00,63.00,-32.50,18.75,-10.92,17.05,160.50,250.50,250.50,205.50
3.00,64.00,-32.50,18.75,-10.52,22.04,340.50,160.50,250.50,205.50
3.00,65.00,-32.50,18.75,-14.25,29.85,160.50,250.50,250.50,205.50
3.00,66.00,-32.50,18.75,-18.37,32.68,160.50,160.50,250.50,205.50
3.00,67.00,-32.50,18.75,-22.49,35.52,160.50,250.50,250.50,205.50
3.00,68.00,-32.50,18.75,-26.61,38.35,160.50,160.50,250.50,205.50
3.00,69.00,-32.50,18.75,-30.73,41.18,160.50,250.50,250.50,205.50
3.00,70.00,-32.50,18.75,-35.25,39.03,160.50,160.50,250.50,205.50
3.00,71.00,-32.50,18.75,-39.76,36.88,160.50,250.50,250.50,205.50
3.00,72.00,-32.50,18.75,-44.27,34.72,160.50,160.50,250.50,205.50
3.00,73.00,-32.50,18.75,-48.79,32.57,160.50,250.50,250.50,205.50
3.00,74.00,-32.50,18.75,-53.69,25.43,160.50,160.50,250.50,205.50
3.00,75.00,-32.50,18.75,-54.08,20.45,160.50,250.50,250.50,205.50
3.00,76.00,-32.50,18.75,-54.48,15.46,160.50,160.50,250.50,205.50
