Portman_all,Portman_Gen2,Sanmina_all,Sanmina_Gen2,Portman Check,Sanmina Check,Boards,,
QR420-0345-21001,,QR420-0345-20547,,,MISSING,0,,
QR420-0345-20447,,QR420-0345-20745,,,MISSING,0,,
QR420-0345-20386,,QR420-0345-20986,,,MISSING,0,,
QR420-0345-20520,,QR420-0345-20857,,,MISSING,0,,
QR420-0345-20907,,QR420-0345-20320,,,MISSING,0,,
QR420-0345-20745,,QR420-0345-20444,,,MISSING,0,,
QR420-0345-20691,,QR420-0345-20345,,,MISSING,0,,
QR420-0345-20720,,QR420-0345-20335,,,MISSING,0,,
QR420-0345-21271,,QR420-0345-20692,,,MISSING,0,,
QR420-0345-20444,,QR420-0345-20833,,,MISSING,0,,
QR420-0345-20742,,QR420-0345-20513,,,MISSING,0,,
QR420-0345-20021,,QR420-0345-20265,,,MISSING,0,,
QR420-0345-20478,,QR420-0345-20039,,,MISSING,0,,
QR420-0345-20403,,QR420-0345-20962,,,MISSING,0,,
QR420-0345-20605,,QR420-0345-21271,,,MISSING,0,,
QR420-0345-20513,,QR420-0345-20473,,,MISSING,0,,
QR420-0345-21041,,QR420-0345-20629,,,MISSING,0,,
QR420-0345-20381,,QR420-0345-20683,,,MISSING,0,,
QR420-0345-20452,,QR420-0345-20447,,,MISSING,0,,
QR420-0345-20880,,QR420-0345-20398,,,MISSING,0,,
QR420-0345-20138,,QR420-0345-21064,,,MISSING,0,,
QR420-0345-20530,,QR420-0345-20021,,,MISSING,0,,
QR420-0345-20746,,QR420-0345-20880,,,MISSING,0,,
QR420-0345-20039,,QR420-0345-21001,,,MISSING,0,,
QR420-0345-20265,,QR420-0345-20608,,,MISSING,0,,
QR420-0345-20683,,QR420-0345-20605,,,MISSING,0,,
QR420-0345-20249,,QR420-0345-20820,,,MISSING,0,,
QR420-0345-20697,,QR420-0345-20138,,,MISSING,0,,
QR420-0345-20119,,QR420-0345-21339,,,MISSING,0,,
QR420-0345-21270,,QR420-0345-20435,,,MISSING,0,,
QR420-0345-21064,,QR420-0345-20046,,,MISSING,0,,
QR420-0345-21222,,QR420-0345-20842,,,MISSING,0,,
QR420-0345-20450,,QR420-0345-20457,,,MISSING,0,,
QR420-0345-20518,,QR420-0345-20969,,,MISSING,0,,
QR420-0345-20046,,QR420-0345-20403,,,MISSING,0,,
QR420-0345-20431,,QR420-0345-20923,,,MISSING,0,,
QR420-0345-20514,,QR420-0345-20720,,,MISSING,0,,
QR420-0345-20496,,QR420-0345-20450,,,MISSING,0,,
QR420-0345-20842,,QR420-0345-20141,,,MISSING,0,,
QR420-0345-20037,,QR420-0345-20452,,,MISSING,0,,
QR420-0345-20608,,QR420-0461-20110,,,MISSING,0,,
QR420-0345-20462,,QR420-0345-20746,,,MISSING,0,,
QR420-0345-20332,,QR420-0345-20119,,,MISSING,0,,
QR420-0345-20391,,QR420-0345-20693,,,MISSING,0,,
QR420-0345-20141,,QR420-0461-20123,,,MISSING,0,,
QR420-0345-20969,,QR420-0345-20681,,,MISSING,0,,
QR420-0345-20451,,QR420-0345-20687,,,MISSING,0,,
QR420-0345-20435,,QR420-0345-20580,,,MISSING,0,,
QR420-0345-20333,,QR420-0345-20478,,,MISSING,0,,
QR420-0345-20371,,QR420-0345-20615,,,MISSING,0,,
QR420-0345-20659,,QR420-0461-20102,,,MISSING,0,,
QR420-0345-20794,,QR420-0345-20381,,,MISSING,0,,
QR420-0345-20068,,QR420-0345-20514,,,MISSING,0,,
QR420-0345-21341,,QR420-0345-20978,,,MISSING,0,,
QR420-0345-20580,,QR420-0345-20332,,,MISSING,0,,
QR420-0345-20393,,QR420-0345-20462,,,MISSING,0,,
QR420-0345-20923,,QR420-0345-21066,,,MISSING,0,,
QR420-0345-20561,,QR420-0345-20249,,,MISSING,0,,
QR420-0345-20623,,QR420-0345-20431,,,MISSING,0,,
QR420-0345-20199,,QR420-0345-20496,,,MISSING,0,,
QR420-0345-20681,,QR420-0345-20530,,,MISSING,0,,
QR420-0345-20945,,QR420-0345-20068,,,MISSING,0,,
QR420-0345-20750,,QR420-0345-20750,,,MISSING,0,,
QR420-0345-20693,,QR420-0345-21270,,,MISSING,0,,
QR420-0345-20554,,QR420-0345-20037,,,MISSING,0,,
QR420-0345-20978,,QR420-0345-20794,,,MISSING,0,,
QR420-0345-20687,,QR420-0461-20041,,,MISSING,0,,
QR420-0345-20858,,QR420-0345-20451,,,MISSING,0,,
QR420-0345-20380,,QR420-0345-20371,,,MISSING,0,,
QR420-0345-20470,,QR420-0345-21341,,,MISSING,0,,
QR420-0345-20717,,QR420-0345-20554,,,MISSING,0,,
QR420-0345-21066,,QR420-0345-20108,,,MISSING,0,,
QR420-0345-20461,,QR420-0345-20945,,,MISSING,0,,
QR420-0345-20615,,QR420-0345-21061,,,MISSING,0,,
QR420-0345-20221,,QR420-0345-21088,,,MISSING,0,,
QR420-0345-21038,,QR420-0461-20101,,,MISSING,0,,
QR420-0345-20411,,QR420-0345-20741,,,MISSING,0,,
QR420-0345-20401,,QR420-0345-20391,,,MISSING,0,,
QR420-0345-21088,,QR420-0345-20659,,,MISSING,0,,
QR420-0345-20869,,QR420-0345-20333,,,MISSING,0,,
QR420-0345-20153,,QR420-0461-20014,,,MISSING,0,,
QR420-0345-20741,,QR420-0345-20869,,,MISSING,0,,
QR420-0345-20874,,QR420-0345-20937,,,MISSING,0,,
QR420-0345-20626,,QR420-0345-20420,,,MISSING,0,,
QR420-0345-20816,,QR420-0345-20442,,,MISSING,0,,
QR420-0345-20722,,QR420-0345-20499,,,MISSING,0,,
QR420-0345-20108,,QR420-0345-20874,,,MISSING,0,,
QR420-0345-20937,,QR420-0345-20717,,,MISSING,0,,
QR420-0345-20504,,QR420-0345-00456,,,MISSING,0,,
QR420-0345-20638,,QR420-0345-20199,,,MISSING,0,,
QR420-0345-20453,,QR420-0345-20470,,,MISSING,0,,
QR420-0345-20319,,QR420-0345-20858,,,MISSING,0,,
QR420-0345-20499,,QR420-0345-20910,,,MISSING,0,,
QR420-0345-20429,,QR420-0345-20623,,,MISSING,0,,
QR420-0345-20955,,QR420-0345-20561,,,MISSING,0,,
QR420-0345-20442,,QR420-0345-20380,,,MISSING,0,,
QR420-0345-21061,,QR420-0345-21095,,,MISSING,0,,
QR420-0345-20911,,QR420-0345-20411,,,MISSING,0,,
