Patch_39_L1B1_12_12_even_co_29Ghz,Patch_39_L1B1_12_12_even_cross_29Ghz,Patch_39_L1B1_12_12_odd_co_29Ghz,Patch_39_L1B1_12_12_odd_cross_29Ghz,,Patch_42_L1B1_12_12_even_co_29Ghz,Patch_42_L1B1_12_12_even_cross_29Ghz,Patch_42_L1B1_12_12_odd_co_29Ghz,Patch_42_L1B1_12_12_odd_cross_29Ghz,,Patch_46_L1B1_12_12_even_co_29Ghz,Patch_46_L1B1_12_12_even_cross_29Ghz,Patch_46_L1B1_12_12_odd_co_29Ghz,Patch_46_L1B1_12_12_odd_cross_29Ghz,,Patch_47_L1B1_12_12_even_co_29Ghz,Patch_47_L1B1_12_12_even_cross_29Ghz,Patch_47_L1B1_12_12_odd_co_29Ghz,Patch_47_L1B1_12_12_odd_cross_29Ghz,,Patch_50_L1B1_12_12_even_co_29Ghz,Patch_50_L1B1_12_12_even_cross_29Ghz,Patch_50_L1B1_12_12_odd_co_29Ghz,Patch_50_L1B1_12_12_odd_cross_29Ghz,,Patch_57_L1B1_12_12_even_co_29Ghz,Patch_57_L1B1_12_12_even_cross_29Ghz,Patch_57_L1B1_12_12_odd_co_29Ghz,Patch_57_L1B1_12_12_odd_cross_29Ghz,,Patch_63_L1B1_12_12_even_co_29Ghz,Patch_63_L1B1_12_12_even_cross_29Ghz,Patch_63_L1B1_12_12_odd_co_29Ghz,Patch_63_L1B1_12_12_odd_cross_29Ghz,,Patch_71_L1B1_12_12_even_co_29Ghz,Patch_71_L1B1_12_12_even_cross_29Ghz,Patch_71_L1B1_12_12_odd_co_29Ghz,Patch_71_L1B1_12_12_odd_cross_29Ghz
9.8092299,-4.1668496,12.043425,4.0808063,,10.449604,1.1895412,9.7719622,-0.50298202,,15.20229,-12.549172,10.318654,-1.7713003,,12.608216,-8.8293457,12.297151,-10.988834,,9.8902721,-11.019929,14.350072,-2.676089,,11.58999,-12.912065,10.137636,0.16379659,,17.114376,2.0426617,13.744754,3.1153085,,13.786527,-21.651917,12.480975,-9.9416552
9.430151,-1.7189549,11.995742,3.3439825,,10.98615,0.58779526,9.9029531,0.28521982,,14.985887,-18.161337,10.093074,-1.3505266,,12.66033,-7.1285896,12.089606,-9.0765848,,9.4970818,-8.8757324,14.380134,-2.3323886,,11.736599,-10.583987,10.155555,1.3671765,,16.989258,2.8827684,14.11822,4.2561908,,13.309232,-20.469124,12.474035,-11.553646
9.0731955,-0.017977687,11.543887,2.6137106,,11.169568,-1.4982882,9.6914482,-0.1330557,,14.427131,-17.777149,9.4319172,-2.7297144,,12.626216,-6.9280987,11.756895,-8.4117908,,8.8917322,-6.8413525,13.96377,-2.1873789,,11.395113,-9.8240824,9.8386145,1.2263557,,16.503935,3.2905898,13.8395,4.9242015,,12.664783,-15.267209,12.404275,-10.000155
8.9775543,0.58216506,11.119986,1.3616496,,11.132202,-3.4979904,10.203729,0.40227348,,13.912804,-17.306362,9.4297924,-2.2285881,,12.538095,-6.6385083,11.630612,-9.0548286,,8.4411135,-5.0193472,13.733524,-1.1935982,,11.013775,-7.4931588,10.077548,1.291562,,16.216755,3.0838499,13.965718,5.4717569,,12.007522,-13.374166,12.439545,-10.592621
9.3128643,2.1037705,10.647716,0.10291382,,11.149055,-6.3863683,10.697751,1.120085,,13.336132,-14.36369,9.0838566,-2.5970795,,12.752138,-6.174552,11.656693,-8.3085403,,8.2050924,-5.1688051,13.245819,-0.95945531,,11.172569,-5.7410588,10.931334,1.2096367,,16.006649,2.4305108,14.154948,5.4692092,,11.869506,-13.714962,12.477944,-9.5536003
9.6888428,2.1347976,10.541558,-0.40071726,,11.063972,-12.487762,11.426563,1.3134943,,12.941053,-14.129572,9.0198765,-2.3428638,,12.586602,-6.1115289,11.790668,-8.5600443,,8.7090893,-4.9774055,12.649881,-0.68139917,,11.263256,-3.8776777,11.731276,1.5049412,,15.773759,1.8465704,14.219126,5.1717477,,11.685674,-11.116704,12.256888,-9.9049253
10.150506,2.216593,10.417382,-2.0254521,,10.760306,-19.666468,11.579284,1.7673434,,12.524656,-9.6613522,8.950388,-2.0974398,,12.623627,-6.9099121,11.999092,-10.47342,,9.0205784,-5.230813,11.921435,-0.07308735,,11.76417,-2.3705766,12.597339,1.2668139,,15.530467,0.8314268,14.203458,4.360076,,11.934701,-10.925458,11.926198,-8.4504786
9.9659386,1.3425202,10.185569,-4.1194067,,9.997695,-9.7881813,11.299047,0.97086334,,11.61867,-9.2496872,8.5372438,-3.6785572,,12.140949,-6.0445261,11.535172,-11.51798,,8.9202843,-7.3287048,10.87461,-1.6150877,,11.685876,-2.1215928,12.602407,0.50650346,,14.627596,-0.56434131,13.241676,1.9675537,,11.905277,-12.116505,11.106169,-7.4756265
9.678092,-0.041991103,9.9918604,-7.8425393,,9.0397892,-5.9915776,10.658681,0.03116592,,11.251277,-7.0071421,8.6707067,-3.5592313,,11.89963,-7.614378,11.316043,-13.072679,,8.7976866,-9.2660809,9.9541693,-2.4050441,,12.262237,-2.1685588,12.579628,-0.37235218,,14.01355,-1.4135386,12.224887,-0.96258652,,11.922575,-11.188466,10.360133,-6.9845829
9.8854656,-0.63628584,10.068491,-17.393684,,8.2535057,-4.1219144,10.254118,-0.48496544,,11.052867,-6.064548,9.0806828,-5.2783432,,11.971916,-9.33918,11.17097,-14.078847,,8.1632853,-11.512371,9.4768391,-4.1745429,,12.582324,-2.7863369,12.301769,-0.36391997,,13.246151,-2.0216002,11.398668,-4.8552618,,12.401296,-12.404568,9.93787,-7.5469003
10.747189,-1.430805,10.538121,-39.235489,,7.8007584,-3.971981,9.9901886,-0.92039055,,12.025666,-4.3240318,9.5572815,-4.7424049,,12.30722,-9.9652739,11.383831,-14.055295,,8.3545637,-13.599007,9.1560698,-4.8571329,,13.210104,-2.3722577,12.233466,-1.4007485,,13.456989,-1.2679003,10.806709,-9.0021496,,13.195117,-10.579788,9.8457146,-8.0345573
10.926765,-2.7124116,10.225992,-9.3311119,,7.0552115,-3.4438996,9.0608187,-2.6558902,,12.836167,-2.3850989,9.5510197,-5.6105318,,12.408953,-12.621681,10.835247,-15.524294,,7.6179543,-16.76951,8.3888626,-5.7520752,,13.19211,-2.7555568,11.463665,-2.1996067,,13.601654,-1.6326976,9.8796329,-5.3928566,,13.343914,-11.027712,9.4318228,-9.2803669
10.90367,-4.72294,9.961834,-5.0598993,,6.7147126,-1.9256715,8.4477673,-4.9722486,,13.561994,-0.93699747,9.5471001,-6.5978341,,12.582276,-12.750634,10.473992,-14.302885,,7.0636501,-17.034998,7.862771,-7.0745363,,12.853485,-4.8485074,10.693477,-3.7756922,,13.717834,-2.4624999,9.2915354,-2.3755786,,13.002566,-9.9503002,9.2540331,-10.857471
9.8611012,-9.3106556,9.2995262,-1.7200503,,6.0468221,-0.2929391,7.2907243,-10.773125,,13.64642,-0.66320312,9.1005411,-8.1746683,,11.991329,-14.280487,9.4912949,-14.495867,,5.6368656,-13.290112,6.9297147,-8.9099274,,12.046589,-7.7582879,9.640564,-4.1997495,,13.654418,-2.1121585,8.326766,-0.62106478,,12.060106,-11.230305,8.8337097,-12.233572
