RFA_221219-18_26_37-s2000 Rx L6-BS2 QR440-0111-00019 Cal-rx_Beam1_HV_17.7_21.2_GHz_both_17.7_GHz_-1C
cal_frequency:,17.7
date time, 19-12-22 18:26:37
itcc_runner_version, 1.2.4491.dev0
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo.csv
lens_assembly name, s2000 Rx L6-BS2 QR440-0111-00019 Cal
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.6.5
f_s, 17.7
f_e, 21.2
# f_c, 17.7
Source power [dBm], -20
IFBW [Hz], 200
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],-1
rfic temperatures,-88.29978209523809error reading rfic temperatures
barcodes
3.7772650918301087, 129.677405847016, 4.315712219509252, 275.90798018979035, 4.841367732208638, 63.70950372653147, 6.298360868381677, 112.32919626401574, 7.0781101575411665, 267.633739686477, 7.797508352069188, 75.95449810879161, 7.885459501264051, 258.7976550966144, 7.851422906826885, 84.65275262507485, 6.40551703028014, 161.3475129852223, 5.492970891446821, 318.9976220172375, 4.687938403256207, 109.19831840652833, 4.065248260093451, 256.6430690580835, 3.938951779858048, 45.37860611115639, 3.909293866757016, 101.00078866718043, 4.443337807497657, 251.39182084185484, 5.4240009213661065, 41.883040120387264, 6.496715756730225, 193.60940518179265, 7.325032754509402, 348.53979423743596, 7.443926992643231, 54.54646947217648, 7.650245881629894, 219.01791771523665, 7.3901271061908975, 24.3899084298017, 7.1401607905266795, 186.43527429302162, 6.400018750215568, 343.2488844982919, 5.413842511775973, 38.89856906427896, 5.110336121455166, 192.6526125309773, 5.268149978234257, 350.2180106341198, 5.02437881490602, 147.037104295763, 4.757044313872065, 301.14543168707684, 4.741406765892466, 351.94409112645025, 4.476288638226481, 142.69826087958737, 4.249973029661912, 294.86372512516334, 3.9763512238991385, 85.27329934243245, 4.718898573092611, 234.40937830101387, 6.35263770297465, 284.47604435802407, 8.118053307232708, 69.03864827683257, 9.836554541023691, 210.8435427722785
2.9116043229416984, 156.52132921711188, 2.984365322516936, 299.86968068839866, 3.2409007408804467, 83.00010418809006, 4.832670541025283, 126.24502682091787, 5.98695886157242, 278.262981998242, 7.131832740747377, 84.47945893141886, 7.774434147513363, 266.1697942701174, 8.309215520479318, 90.64758299002773, 7.888999920188372, 166.27349080418495, 7.455915695260197, 329.9961314981499, 6.6655657204995435, 125.49571096352621, 5.928902221446155, 277.240808873382, 5.568792750032051, 70.22563534648854, 4.9610238748898485, 128.3577419069931, 4.7280439656583635, 280.6233651055253, 5.050776533735053, 71.02987407952936, 5.603796999986606, 221.6049674090462, 6.054959936869367, 16.338229045229582, 5.655110806046295, 77.31430490685726, 5.526477181588202, 236.67320649242387, 5.364044191976366, 36.91120288446506, 5.552438905917413, 194.80451943705003, 5.513497596330655, 348.8003913913195, 5.818027785564168, 43.64942907252051, 6.060364232388405, 201.4000816163005, 6.384416795835055, 1.9777538596080946, 6.236740424953606, 160.9902466538175, 6.183562176937918, 315.8406776608787, 6.5722239069737896, 13.188203445958502, 6.388197089167804, 169.01796256038807, 6.141448403549312, 324.49834387180107, 5.994739263044245, 118.62803779390495, 6.534782110261334, 272.1158111169266, 6.791295864202399, 320.53319734115473, 7.490318004911342, 107.54620561564946, 7.285924215772104, 237.43146101917625
4.643440843172498, 125.43154786917307, 5.230790415822155, 273.95834587892205, 5.66564447758136, 63.708078925409666, 6.884457023884195, 113.90330688264417, 7.201497989731073, 270.9740486086376, 7.256049755042957, 78.54575090569195, 7.156889812173844, 258.61396273006176, 6.7314362937678, 80.84971800240152, 5.818736171023515, 150.41457968025398, 5.623170144774006, 306.46846064436266, 5.453506172499587, 97.65899924565605, 5.180897773017713, 247.8195058310473, 5.261897695584886, 38.39277107376511, 5.254057173344226, 97.27705270579466, 5.49109110775373, 251.30701167099895, 5.951853262352522, 44.41896900473207, 6.1943209431279636, 195.33287829220308, 6.574671808508539, 346.82860197146346, 6.847769082760933, 46.75870737193219, 7.320103887542003, 207.97854869077665, 7.299436543006071, 10.782152689366514, 7.720495956828448, 170.5769567798952, 7.693390067451232, 328.85213654680166, 7.169524630831621, 28.623762409924115, 6.767357081936404, 185.07213024913392, 6.816954672233258, 343.1937283792077, 6.575532050264768, 140.76346150711873, 6.248002051803107, 295.28301714653804, 6.0830358116843675, 349.3760450142395, 5.756039584164505, 142.50254538686576, 5.274630297059418, 294.63997777519035, 4.8817033229960245, 84.18769430403569, 5.990990672519124, 231.19644969998754, 7.561717910161036, 275.6995799345533, 9.951952388623575, 66.38330287600036, 11.273489137481995, 211.38323188521431
1.449193487063476, 210.27740702167532, 1.3338667740617796, 5.667848174709352, 0.3600947988471426, 159.4889415936415, 0.29239371808015874, 206.51723986118978, 0.0, 356.91229706955863, 0.0, 157.96838869175187, 0.0, 333.66998729044474, 0.0, 151.44897380243916, 0.0, 222.76546855685189, -9.643274665532871e-16, 20.951464559159653, 0.0, 173.06368400416778, 0.0, 324.8963978872504, 0.11210573189845868, 119.78948876211227, 0.012146474130145413, 182.8944435829962, 0.0, 339.4930414140647, 0.0, 131.88079702611688, 0.43375200035334105, 281.9363510046768, 1.1046070317474093, 78.62841435894167, 0.5148999814081563, 144.80724579820958, 0.10454332644822302, 307.7609250509211, 0.0, 109.4453075380634, 0.0, 268.0495722984678, 0.0, 63.875028095126716, 0.0, 116.35337008091503, 0.0, 270.7915969389848, 0.0, 68.56005618716851, 0.0, 226.19880879141652, 0.0, 23.671828987347244, 0.0, 78.4014437084714, 0.0, 236.3808442914777, 0.0, 36.531917154262246, -9.643274665532871e-16, 195.13209808348162, -9.643274665532871e-16, 348.5411492186399, 0.0, 27.071596607373284, -9.643274665532871e-16, 160.11874924786093, 0.0, 274.65386504988055
3.6948431659903553, 172.65490666007545, 3.9217062424530984, 322.08549929351113, 4.1293063919623725, 111.91041151520243, 5.582606526620698, 165.6781181992095, 5.566606972782076, 321.20264457372053, 5.505660520824099, 126.06211564091801, 5.404916104624544, 304.6125565130094, 5.323608537509527, 124.33415663933775, 4.471423210204995, 196.3389552572509, 4.448268679538131, 354.4668789556269, 4.4108950106535865, 146.5887016432276, 4.478544388363189, 298.7229429674867, 4.6425977419131, 93.30504817556155, 4.25008095770181, 151.5805473685427, 4.486079631527631, 308.18079048347687, 4.675676104279774, 104.34230047157466, 4.536921442863008, 257.9381127317754, 4.335506777407811, 50.8486207068681, 4.413023586405689, 110.61154819625388, 4.275232370857499, 268.6309417423267, 4.0953439783334495, 67.00816767333495, 4.538940419430347, 223.49856569343874, 4.697433656242306, 18.773436579492497, 4.522298636034972, 79.58455398986689, 4.565922581288652, 236.42943969465, 4.9379101271090935, 35.54948596163645, 4.988393428142785, 194.63061935783765, 4.664169266684669, 352.1359267095338, 3.808167461666687, 45.89362775625568, 3.579403297284646, 199.36998522138697, 3.222535024425774, 353.91294866522406, 3.222535024425774, 144.7625925818676, 3.222535024425774, 293.3884030464837, 4.94936666891359, 335.47696493871035, 7.341848094101293, 121.81563427328335, 9.09487577841059, 268.9088097560141
1.2328342845017284, 101.06566001963999, 1.2328342845017284, 248.56120244189532, 1.2328342845017284, 36.035523801255096, 1.8863266722888752, 84.58418824087543, 2.2301488546871635, 238.614628736208, 2.620345364188697, 43.77902160543793, 2.692677592139331, 224.59477041157663, 2.476673439392662, 46.46537607602132, 1.4725730893461562, 116.46279898865515, 1.2328342845017284, 274.4667664118411, 1.2328342845017284, 64.67750671158933, 1.2328342845017284, 213.64747847285653, 1.2328342845017284, 5.6591692953657615, 1.2328342845017266, 63.03041424946436, 1.2328342845017284, 218.6333829929832, 1.5714738162687265, 12.81274183482808, 1.9769887581644707, 164.79694715693316, 2.251037244942556, 320.883588826066, 1.7000689893327987, 24.13333372359208, 1.2328342845017284, 182.5385955090382, 1.2328342845017284, 339.65804139302577, 1.2328342845017284, 134.72698537959263, 1.23283428450173, 287.37925313515285, 1.2328342845017266, 342.4487942690961, 1.2328342845017284, 138.67814053610354, 1.2328342845017266, 297.61744590046584, 1.2328342845017284, 95.08227649304263, 1.2328342845017284, 248.77541424323167, 1.2328342845017284, 299.3866215700112, 1.2328342845017284, 90.56313916108247, 1.2328342845017284, 242.63571755860977, 1.2328342845017284, 37.780247269893415, 1.2328342845017284, 193.5631263026341, 1.2328342845017284, 233.44259025546975, 1.2328342845017284, 19.733287584679434, 1.2328342845017284, 137.66206766997806
1.8491878145356604, 129.59340991313326, 1.854016663195544, 276.6827339814386, 1.9009189030245524, 64.5123920774603, 2.57063890969346, 112.65196066667438, 2.6601595811402214, 265.34151970043126, 2.9790737921029553, 67.80827964242056, 3.309443039244864, 246.30419555100923, 3.4024094334203783, 65.71098225376883, 2.7856550062253405, 133.89431701731385, 3.1598840006997064, 291.895185212825, 3.453108537602928, 84.32343775113321, 3.7993947043305476, 236.5039632892275, 4.34231992702999, 32.7054946273263, 4.394052042645409, 95.18999059651009, 4.526919466653705, 255.14938775952197, 4.3817041306181945, 52.98718585108271, 4.056938506333338, 206.4917609731057, 3.844197146748143, 0.14074546594115891, 3.430646034157046, 61.376193181712416, 2.9732000732933015, 220.43255812003093, 2.398058239139497, 17.998166673924157, 2.5307474011667903, 172.43658123959446, 2.5184136128363726, 324.7067896906081, 2.3162467111099145, 20.492859052335184, 2.5499800913539374, 174.46466252711207, 3.245761288091485, 331.8132902524874, 3.621927784084213, 129.75266453664395, 3.7471915405607725, 285.4460790496127, 3.601114030467211, 339.14634911405966, 3.7940044107535753, 133.4987521066576, 3.8608020130677794, 290.1223922987624, 3.645126518051475, 84.67966819685317, 4.297202903423751, 238.8750712812323, 5.003101860251319, 286.0031076241471, 6.451614191085091, 74.58823609916466, 7.493003879078357, 216.716553301039
4.915966826712114, 106.253441845924, 5.6121596673510155, 257.63063829307924, 5.973562117459059, 50.67896775909584, 6.483219344446212, 102.4256961629656, 6.292299084825342, 258.61703334713616, 6.291389633993193, 63.857281068954144, 6.026829119182246, 243.46318472150023, 5.848099625851752, 62.91763051500423, 5.00886472339764, 131.02923029803347, 4.721297263183669, 287.888533418079, 4.517348461103743, 78.18822445674728, 4.447382663814732, 228.1197566392626, 4.633197769716185, 19.94219654396368, 4.543711403849163, 77.16007020557224, 4.88631192779802, 230.54021633978326, 5.629225020837227, 23.7126084961964, 6.0833066000572735, 177.34768271576942, 6.210742383833175, 331.04735468796883, 6.048247547300728, 30.377636085003317, 6.140748511454789, 189.0998296729451, 6.235205189390701, 348.9194302136735, 6.7779475498002295, 147.61079506640385, 6.952070497533345, 304.59022038257905, 6.6756519119504425, 3.594561450749776, 6.397310949058166, 160.76985849803594, 6.495138019432751, 319.28646676735036, 6.267281316968095, 117.36163627000803, 5.908559653173359, 272.11109136328906, 5.5686458694040555, 324.6087417247809, 5.427851522334281, 116.65295970171748, 5.405780914732969, 269.2932761087605, 5.260401067651549, 63.521988102529384, 5.72522265743477, 217.78182832463918, 4.9214021853884855, 260.02748467710313, 5.332667615568062, 41.175546455472734, 4.377986754003471, 170.47742865999462
1.714167030141415, 119.28334702890278, 2.53547086379137, 263.75697252040754, 3.4301135903883413, 50.42550262893841, 4.878032624671197, 99.89112916853216, 5.603571228210037, 254.56272023248908, 6.573685079034245, 60.43024599406399, 7.237503958148506, 245.33293266181067, 7.113534923683339, 70.57138423241898, 6.312232303527644, 145.84553340347946, 5.636840305406492, 308.42305513659437, 4.764594436082452, 101.78738061107393, 4.037189544789536, 252.01602954033018, 3.587411856757887, 42.27769446131088, 3.0299475184395104, 99.10522760066235, 3.011601103917181, 250.90691811864804, 3.562901947515641, 41.135721070469344, 4.167722776368704, 192.07425049150166, 4.378919728189952, 345.3928152104943, 4.384932727812644, 45.62644859881679, 4.684741631130028, 204.58741848396693, 4.941240973309124, 5.0391667631460715, 5.601236810858428, 165.59500386200148, 5.61926016102079, 324.95940953535495, 4.753662885916938, 26.100716965472593, 4.225042352143047, 182.4287532397356, 4.244280123589352, 339.8755819662088, 4.062530610627238, 136.11906170755773, 3.8251908288511487, 289.3863198520342, 3.5511577095070286, 341.21154637022255, 3.7081728852654443, 133.15675142245124, 3.9018472816203023, 285.62107844194855, 4.368145310289047, 76.91799488107091, 5.674052084009987, 230.78030903749715, 7.203797241514486, 279.48031968405115, 9.601151236813088, 70.6050565639763, 11.391991572845681, 220.95234826793143
4.698237511304491, 216.19569647551052, 4.818541849875324, 8.003093836913772, 4.6181556385152405, 160.22866677560242, 5.607508824157504, 214.28907305880531, 5.0968664448087235, 8.156549536188018, 4.909381108798509, 170.0648687646911, 4.971323685044339, 347.1224197109535, 4.877971433120061, 166.36516787347225, 4.004912863862274, 237.3584309121402, 4.0617727638075385, 34.307646740195544, 4.125578193726667, 185.87727930010556, 4.273699657226549, 337.0626458181941, 4.603489251746414, 130.96234893944978, 4.470436386049281, 189.49384089438257, 5.022736456331848, 346.72205833507013, 5.528850315867836, 144.62886828886096, 5.606257225143539, 300.71423715647563, 5.417295545654831, 96.9731160679373, 5.101062288857192, 158.1548318636101, 4.592078401749981, 318.3890972976405, 4.001805125697395, 116.76161782471034, 4.250133388895217, 272.3273342191452, 4.37669223560004, 66.87294936537867, 4.3925524666004785, 125.49326942755258, 4.398734246772466, 281.8417937611466, 4.970487140521126, 80.05284862322993, 5.398416886112994, 239.50712587633092, 5.600184960414891, 39.3676508215056, 5.059831573306262, 98.0586938897981, 4.553027583426208, 254.70732317017527, 3.973901386025624, 52.522580304836495, 3.040725564495688, 207.29129656952185, 2.77771213655506, 356.1863768108223, 2.734922650827585, 36.210860980027164, 4.0008996783752915, 175.11846385801408, 3.509494314012124, 298.7065229954025
