RFA_230315-19_10_04-None_QR00004-CGNone_None_biasNone_p-20_tx_Beam2_HV_27.5_31_GHz_both_29.5_GHz_45C
cal_frequency:, 29.5
date time, 15-03-23 19:10:04
itcc_runner_version, 1.2.5080
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.12.0
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -20
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,30.482358452380947error reading rfic temperatures
barcodes,00004
0.0,191.95228198253469,0.0,237.39349636945815,0.8532998967039804,281.40402255830384,0.0,327.22948432477284,0.0,13.66898426423222,1.430450085292033,65.95268570177157,0.7890876380800559,22.575347782580145,1.1174380301215838,73.31341950824621,0.0,121.74399382932549,0.0,168.89073225385658,0.0,217.3999858534572,0.0,160.8092104939679,0.0,204.73107579716415,0.0,248.58225003145168,0.25237786996831013,292.20582393837435,1.2979717638568797,338.06625152038436,3.2623336062798702,295.38041644185023,4.131322017682165,345.2428441290693,7.055092211922314,36.476823967262824,7.919446370695323,86.50629519702875,8.941805283894258,136.657648604025,9.508146553479001,99.9616986596533,10.50570604758592,162.2475409989102,19.401858235916826,231.1762253354024,17.120883137609304,299.80457129521557,13.923317891896259,354.96707417409436,10.732834070658754,306.9407307343166,7.680587109339872,351.2041282514506,4.6051095481292705,29.76656396341527,3.428405888654324,71.12015840542529,1.9351819759352804,113.15521514082039,0.5137633653431177,58.1433060234499,0.0,99.3392111546954,6.804406316861157,138.24714436524158,5.494278075786642,174.23098875867717,4.786204440679805,212.37348176356667
0.0,116.00398411190258,0.0,165.69634641994082,0.0,212.39668577916754,0.0,258.80939515841123,0.0,306.42870538525443,0.0,358.09895316616354,0.0,313.55711764391083,0.0,4.728722890535948,0.0,51.67632947459418,0.0,96.61846192847156,0.0,143.82270896454668,0.0,84.50997738203489,0.0,127.89142316372505,0.0,172.55633839483352,0.0,217.771091701537,0.0,267.42003030041246,0.0,226.2703792835309,0.0,277.3825057406143,0.0,329.7572005144091,0.0,22.261856685627578,0.0,72.82313440553725,0.0,39.01702127062208,0.0,90.28766948266411,2.629675898778191,136.26208456395705,1.7255948602125581,181.9772490831146,1.0844940681748043,225.6866558610718,0.0,174.67248259918387,0.0,216.25803158648327,0.0,259.2582527593133,0.0,304.0447758439964,0.0,351.0613056169485,0.0,296.34165995348087,0.0,341.2774761169933,3.8383635466532833,20.57088681019593,3.803944116437554,62.634433949554534,3.3395082972879164,107.00780224081274
0.0,87.73417217847513,0.0,131.12421169612313,0.0,175.59743321951703,0.0,222.3136071394187,0.0,270.99643492316983,0.0,324.07040011742373,0.0,282.12690085606096,0.0,333.5520817235473,0.0,21.766427700344785,0.0,70.14957136743023,0.0,120.41962124817069,0.0,71.40529637370075,0.0,120.49924174677305,0.0,169.56198795185452,0.0,218.94387582521125,0.0,270.6612842700679,0.0,234.53879639550743,0.0,289.0370949341486,0.0,343.7286639550653,0.0,34.47672573102404,0.0,82.44961644651,0.0,37.65059975403889,0.0,87.49525922048615,0.0,133.3254489734471,0.0,178.00729850219332,0.0,219.02577171552633,0.0,165.11463833361188,0.0,207.25443114045757,0.0,244.33051137357364,0.0,286.29490699940396,0.0,330.6386269491827,0.0,282.0374924685071,0.0,324.79754947423936,2.1282874042294964,5.991495368397523,1.5450164045596257,39.114875871072186,1.6426639134587726,85.15280068627057
0.0,25.885739269644034,1.156138033459417,72.78000386216894,2.598890192066178,117.1357873037299,0.7411480307364853,163.65467771297818,3.011232705152422,213.2528635664692,4.805962796301153,268.89370838986855,4.251052592702299,232.24304456966635,4.791106926642197,286.7831587928209,2.174542500533568,338.12841616492994,2.922467627431552,26.12699821074918,3.8728056776434734,78.10182890225462,4.024423768022704,24.953373167189568,4.509021990264429,74.55743690781296,4.430602811012847,124.14877961227239,5.769927937146953,174.70327948877986,7.266929061890881,230.5719129456814,9.617754470400367,201.18622241707615,9.208018833822182,264.6052709467954,10.110691619562424,325.1580615150838,8.783458338472496,20.60127665793192,7.493823066086696,71.01413460214249,5.895854553154694,36.66050697983019,4.418123379901181,85.8001724151415,12.299859148087084,133.04735761947825,11.336279973093315,179.95129387137717,10.571398305319239,226.7698084138778,8.55184540840113,177.81591468234978,7.382411946066601,220.98092712556385,5.843895793571647,265.59330240128037,5.268419916982541,310.48724584603906,4.561932886264579,357.9132200965941,3.970017679087341,302.2374972256989,2.378589795168671,345.9751512311261,11.422272574629451,26.733758400504087,11.444141178901983,67.18590860483025,11.269582093498737,109.57949968617328
1.0890882349454267,28.294103864241794,2.8481158046427977,77.84626899883453,4.32759613172856,125.9663934577869,1.906448734182731,175.5799555428622,3.716160242893767,225.310034680916,5.416027829802985,280.42054113579024,4.771022630906643,239.48170814804578,5.3433621235304205,292.7206414755327,2.8143611566169078,344.48536775558046,3.5093326179420723,34.38849281579192,4.082413983483745,86.06319750111471,4.486721624501779,32.908311550730104,4.930004460903233,80.15860718840011,4.945057635788426,127.89791198299059,6.510230666837056,177.33294116257306,8.09638940823347,230.03047413124244,10.567424002612757,195.9026043130368,11.385510089995257,260.67702495103504,13.287189100149899,326.3533063312334,12.460365679618397,28.841213751962957,11.046913470973092,87.36782756616006,8.653628877440198,55.11498408383521,6.359697888192585,109.62264081442191,13.24289598536364,158.21266989934392,11.327357232356764,204.43742687478607,10.007214626580707,246.74371895303688,8.503362483253968,193.66232951450505,7.09285196979597,237.97186878985352,5.333895662259894,279.02733109963765,5.1782169412126136,324.2345693950862,4.423397813293935,11.631202757836029,3.6269306661522815,319.81668382638156,2.1847145843751563,5.479226520821602,10.930677500927125,49.70848098974416,10.107874708986124,91.04058816818024,9.060127574160552,134.47378610578718
1.315749190530521,331.6534175204614,2.159604045405898,22.14877319523842,2.8459093650569187,69.76753445294057,0.2445529905421021,116.59666967978319,1.7829302973138217,165.34084185009175,3.107393949300988,219.87722171284764,2.585978552429617,185.39463877385114,2.553346676313983,239.9547652879325,0.0,289.38715679364674,0.0,333.3869483266092,0.4169525191312683,22.783024361220868,0.46203344955076214,331.11339575644024,0.7266296262037806,17.744006873305523,0.5451345499581031,64.68758464335644,1.7107152462411424,112.59750963099458,2.7343351439568204,163.65484295669347,4.466883368368349,127.04316432288806,4.973492575529343,181.83681660367424,7.344443790740403,238.95196254793078,7.363402792472108,296.20316270255137,6.934683546589536,351.5774212581693,5.7407243712790965,319.74510245508645,4.4482758615706395,14.218087588742264,12.385467569690912,65.50629233114057,11.318981786406905,116.4514905851625,10.286737240972428,167.36562539209018,8.20470023123401,122.01783686337683,6.609391840884085,167.3114134086033,4.709263111621525,212.4728811738331,3.899096845287424,257.0562681453905,3.0442140439605145,303.9517837757214,2.053394857850393,251.26619209622172,1.0463366442084034,294.3265415490671,10.507490820495242,338.29985179577704,10.325616476903505,22.03142007071625,9.947231091166383,68.79000202351057
2.3583142117946103,314.41511714837856,4.327615819720682,6.367174307449561,5.849917069353553,57.128578872042446,3.3980464691798558,108.91868905729933,5.1858580353021635,160.72139812260096,6.877327828848237,218.13763759620792,6.016196556323621,177.4576532719556,6.664505673356147,234.10538067748107,4.073936914342688,289.47976462841524,4.507855771865973,343.13614658367726,4.651464244347256,38.98190950849841,4.729113708360659,349.94508050005476,4.348863071410506,38.40878476136911,3.5328072075583075,86.68374131828301,4.093209766734055,135.24293104810732,4.748713406329922,184.68598821208982,6.54456956166508,145.99159474733693,7.0595066258686545,203.38369214943074,9.1576104460492,262.3936779603973,8.857747245275217,320.1867684829798,8.107783949436921,16.623765516481164,6.523329161645812,344.6478465398465,4.63225931258194,40.82331573880059,11.713542951521562,91.65056588393368,9.660928849794246,140.0653011538381,7.899997732813952,183.38201267796413,6.265636724930711,130.69178677468815,4.882602050230736,171.49294056275525,3.342711956989282,210.57840542363164,3.548289193136073,255.33918895377707,3.1656904124891354,303.3915834899818,2.107699497950641,255.36220706444482,1.0227417607178728,300.3839435794491,10.350733873864614,344.1885195798422,9.968698953863548,28.062352631962767,9.333563966731006,73.45585395079674
1.7178775491044882,252.07131290032984,3.169918887042114,305.64363288263104,4.261814107384954,356.25446453797326,2.042019087168873,46.42181075709652,4.312385428010998,100.15860125566257,6.02145956759918,161.43717822464293,5.7549079618728,131.75375238985168,6.116947189072367,192.97711901866685,3.1157924369962116,249.94790222667666,3.4429540467352364,303.02271948424124,3.9401599598752806,0.9805279027676477,3.372531597630471,317.52543653522486,2.801727286526497,11.683656100709754,1.497974982210327,64.03331923331126,1.391294094845115,114.03183911825312,1.4487477917229725,165.13503366867184,2.286762318063487,127.26557677389945,1.8914226856855698,180.73293193758775,3.533739630543473,233.6954400629757,3.238438170264098,285.522344335736,2.9479768914029596,335.9734907660834,1.93583624378326,300.7481689889742,1.017197608090616,351.87818209644377,9.544682644379094,40.79146057175072,9.318522016973308,90.60491838730661,9.23295711316747,142.11300916311478,8.08862150253946,99.7910429750691,7.235434833540639,150.84990275086926,5.6461319696706544,203.30371603546754,4.748007419324064,255.41755892808163,3.574074611382257,306.7001500890208,2.322981024717445,260.4108217804233,0.7407472893597989,304.85086678320926,9.713835812408057,348.8884342863536,9.763644019460394,33.79443145756551,9.268408591663313,80.84678479902851
0.28220269060900416,239.452095094946,1.4643950009747444,288.5506347496663,2.5785961617644326,336.9077324147228,0.0,26.32673539413886,1.383453182942965,74.49326770582883,2.981297388685749,127.58740604099803,2.378163048799868,81.98818496174223,3.411620178518569,132.84681749728875,1.634871063527875,182.05437434058166,3.331293603439885,229.8460166923456,5.552173131233426,282.4235819113849,8.21350239609493,235.45430597288043,10.56725205714445,291.8753333271892,12.207020261416995,357.68984152250005,13.644529439550153,73.3982058009954,12.777592431648031,146.93678331354192,11.734489916805913,121.38140271795119,9.956291554399057,181.4545460436384,10.443989316761895,238.35983094503604,9.219372671138789,292.3455690271433,7.923000428018495,344.6926132632243,5.988024163999695,307.10836573427423,4.2447253188053935,359.5323504251377,11.81082994706712,47.408675145286146,10.501581869499573,94.79057100533174,9.73522088052679,139.18199725981938,9.074841459621364,89.85788511208492,8.190644837231313,138.30158610689261,6.773230127530436,183.49911799693544,6.954509491415654,235.57974861191127,6.3669652031379425,289.0744279989707,5.233418005878134,245.40074058555913,3.6706623014800073,294.19821149873366,12.6214017423356,342.3722511992154,11.991275977860989,28.37171571904008,11.085472494001758,77.4428138243335
1.8076838307300394,301.4584585645711,2.908789087841326,353.38986494406197,3.840683676513014,43.50048867804668,0.9800942082039397,91.87296156672994,2.6488852901141997,140.99936731804576,4.103332711719416,195.77833167416807,3.0584064827500295,155.6111430010074,3.585528377603455,207.33386029486417,1.112569388466639,255.77257478769513,2.2870859171225355,300.5981607405461,4.008537392620443,350.33699722598755,5.2483918196571375,295.7083341479781,6.688907248404041,346.22789972865246,7.798766596659664,37.0380167595749,10.73170076765025,92.31644092273393,13.68812281913504,159.4350445860631,16.129519573720543,148.6345453332778,14.377035051087086,222.5927645524817,14.387876552879831,286.6067145868301,12.596576095422474,344.67170320557705,11.008398019592766,38.87306449481068,9.0166594432147,6.40926833433582,7.122692153883744,59.194234582022915,14.390772896285975,108.48228179487785,13.026058111396566,155.5684740408019,12.080824001143245,203.67466357328954,9.79408449439678,156.9677190346784,8.353584914636203,202.3507058096636,6.469008019887483,246.8283977950482,5.752075389577373,290.7361180506989,5.042452675875651,337.2344460647654,4.313014405615111,283.04460728844253,3.103052777281004,328.0464933011016,12.513544339243342,9.42812845350926,12.594001086540683,52.5045097243696,12.561109074655597,97.72778657446293
