RFA_230315-19_10_04-None_QR00004-CGNone_None_biasNone_p-20_tx_Beam2_HV_27.5_31_GHz_both_29.5_GHz_45C
cal_frequency:, 29.5
date time, 15-03-23 19:10:04
itcc_runner_version, 1.2.5080
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.12.0
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -20
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data,65
Temp. [°C],45
rfic temperatures,30.482358452380947error reading rfic temperatures
barcodes,00004
2.774539751906262,177.19645571734907,2.774539751906262,222.63767010427253,3.6278396486102427,266.64819629311825,2.774539751906262,312.47365805958725,2.774539751906262,358.91315799904663,4.204989837198295,51.19685943658596,3.563627389986318,7.819521517394534,3.891977782027846,58.5575932430606,2.774539751906262,106.98816756413987,2.774539751906262,154.13490598867097,2.774539751906262,202.64415958827158,2.774539751906262,146.05338422878228,2.774539751906262,189.97524953197853,2.774539751906262,233.82642376626606,3.0269176218745724,277.44999767318876,4.072511515763142,323.31042525519877,6.036873358186132,280.62459017666464,6.905861769588427,330.4870178638837,9.829631963828575,21.720997702077213,10.693986122601585,71.75046893184313,11.71634503580052,121.9018223388394,12.282686305385264,85.20587239446769,13.280245799492182,147.4917147337246,22.176397987823087,216.42039907021677,19.895422889515565,285.04874503003,16.69785764380252,340.2112479089088,13.507373822565016,292.184904469131,10.455126861246134,336.448301986265,7.379649300035533,15.010737698229658,6.202945640560586,56.364332140239675,4.709721727841543,98.39938887563477,3.28830311724938,43.38747975826429,2.774539751906262,84.5833848895098,9.578946068767419,123.49131810005596,8.268817827692905,159.47516249349155,7.560744192586068,197.61765549838105
3.186136856776457,105.37938410423146,3.186136856776457,155.0717464122697,3.186136856776457,201.77208577149642,3.186136856776457,248.18479515074011,3.186136856776457,295.8041053775833,3.186136856776457,347.4743531584924,3.186136856776457,302.9325176362397,3.186136856776457,354.10412288286483,3.186136856776457,41.051729466923064,3.186136856776457,85.99386192080044,3.186136856776457,133.19810895687556,3.186136856776457,73.88537737436377,3.186136856776457,117.26682315605393,3.186136856776457,161.9317383871624,3.186136856776457,207.14649169386587,3.186136856776457,256.79543029274134,3.186136856776457,215.64577927585978,3.186136856776457,266.7579057329432,3.186136856776457,319.13260050673796,3.186136856776457,11.637256677956458,3.186136856776457,62.198534397866126,3.186136856776457,28.39242126295096,3.186136856776457,79.663069474993,5.815812755554648,125.63748455628593,4.911731716989015,171.35264907544348,4.270630924951261,215.0620558534007,3.186136856776457,164.04788259151275,3.186136856776457,205.63343157881215,3.186136856776457,248.63365275164216,3.186136856776457,293.42017583632526,3.186136856776457,340.4367056092774,3.186136856776457,285.71705994580975,3.186136856776457,330.65287610932216,7.024500403429741,9.94628680252481,6.9900809732140115,52.009833941883414,6.525645154064374,96.38320223314162
3.3069599241150325,78.42381788182777,3.3069599241150325,121.81385739947576,3.3069599241150325,166.28707892286965,3.3069599241150325,213.00325284277133,3.3069599241150325,261.6860806265225,3.3069599241150325,314.7600458207764,3.3069599241150325,272.8165465594136,3.3069599241150325,324.24172742689996,3.3069599241150325,12.45607340369742,3.3069599241150325,60.839217070782865,3.3069599241150325,111.10926695152332,3.3069599241150325,62.09494207705339,3.3069599241150325,111.18888745012569,3.3069599241150325,160.25163365520714,3.3069599241150325,209.63352152856388,3.3069599241150325,261.35092997342053,3.3069599241150325,225.22844209886006,3.3069599241150325,279.7267406375013,3.3069599241150325,334.41830965841797,3.3069599241150325,25.166371434376675,3.3069599241150325,73.13926214986265,3.3069599241150325,28.34024545739153,3.3069599241150325,78.18490492383879,3.3069599241150325,124.01509467679973,3.3069599241150325,168.69694420554595,3.3069599241150325,209.71541741887896,3.3069599241150325,155.8042840369645,3.3069599241150325,197.9440768438102,3.3069599241150325,235.02015707692627,3.3069599241150325,276.9845527027566,3.3069599241150325,321.32827265253536,3.3069599241150325,272.72713817185974,3.3069599241150325,315.487195177592,5.435247328344529,356.6811410717502,4.851976328674658,29.80452157442482,4.949623837573805,75.8424463896232
2.8935584841236723,16.704404311583676,4.049696517583089,63.59866890410858,5.49244867618985,107.95445234566954,3.6347065148601576,154.47334275491784,5.904791189276095,204.07152860840884,7.699521280424825,259.7123734318082,7.144611076825972,223.061709611606,7.684665410765869,277.6018238347606,5.0681009846572405,328.9470812068696,5.8160261115552245,16.94566325268882,6.766364161767146,68.92049394419426,6.917982252146376,15.77203820912921,7.402580474388102,65.3761019497526,7.324161295136519,114.96744465421203,8.663486421270626,165.5219445307195,10.160487546014554,221.39057798762104,12.51131295452404,192.0048874590158,12.101577317945853,255.42393598873502,13.004250103686097,315.9767265570234,11.677016822596169,11.419941699871561,10.387381550210367,61.83279964408213,8.789413037278367,27.47917202176983,7.3116818640248535,76.61883745708114,15.193417632210757,123.86602266141789,14.229838457216989,170.76995891331683,13.464956789442912,217.58847345581745,11.445403892524801,168.63457972428944,10.275970430190274,211.7995921675035,8.73745427769532,256.41196744322,8.161978401106214,301.3059108879787,7.455491370388251,348.73188513853376,6.863576163211013,293.05616226763857,5.2721482792923435,336.7938162730658,14.315831058753123,17.55242344244373,14.337699663025656,58.004573646769884,14.16314057762241,100.39816472811292
4.337382371123234,18.553638564885496,6.096409940820605,68.10580369947823,7.5758902679063675,116.22592815843059,5.154742870360538,165.8394902435059,6.964454379071574,215.56956938155972,8.664321965980793,270.68007583643396,8.019316767084451,229.7412428486895,8.591656259708227,282.9801761761764,6.062655292794715,334.74490245622417,6.75762675411988,24.648027516435622,7.330708119661552,76.32273220175841,7.735015760679587,23.167846251373806,8.17829859708104,70.41814188904381,8.193351771966233,118.15744668363429,9.758524803014863,167.59247586321678,11.344683544411279,220.29000883188615,13.815718138790565,186.1621390136805,14.633804226173066,250.93655965167875,16.535483236327707,316.6128410318771,15.708659815796203,19.10074845260666,14.2952076071509,77.62736226680376,11.901923013618006,45.37451878447891,9.607992024370393,99.88217551506561,16.491190121541447,148.47220459998763,14.575651368534572,194.69696157542978,13.255508762758513,237.0032536536806,11.751656619431774,183.92186421514876,10.341146105973777,228.23140349049723,8.582189798437701,269.28686580028136,8.42651107739042,314.49410409572994,7.671691949471742,1.8907374584797303,6.875224802330089,310.0762185270253,5.433008720552964,355.7387612214653,14.178971637104933,39.96801569038786,13.356168845163932,81.30012286882393,12.308421710338358,124.73332080643088
4.235928079493338,319.6405613497381,5.079782934368714,10.13591702451513,5.766088254019735,57.75467828221728,3.1647318795049184,104.5838135090599,4.703109186276638,153.32798567936845,6.027572838263804,207.86436554212435,5.506157441392434,173.38178260312785,5.473525565276799,227.9419091172092,2.920178888962816,277.37430062292344,2.920178888962816,321.3740921558859,3.3371314080940846,10.770168190497579,3.3822123385135785,319.10053958571694,3.6468085151665965,5.731150702582234,3.4653134389209193,52.674728472633156,4.630894135203959,100.58465346027128,5.654514032919637,151.64198678597018,7.3870622573311655,115.03030815216476,7.893671464492159,169.82396043295094,10.26462267970322,226.93910637720748,10.283581681434924,284.19030653182807,9.854862435552352,339.564565087446,8.660903260241913,307.73224628436316,7.368454750533456,2.2052314180189754,15.305646458653728,53.49343616041728,14.239160675369721,104.4386344144392,13.206916129935244,155.35276922136688,11.124879120196827,110.00498069265353,9.5295707298469,155.29855723788,7.6294420005843415,200.4600250031098,6.81927573425024,245.0434119746672,5.964392932923331,291.9389276049981,4.973573746813209,239.25333592549842,3.9665155331712194,282.3136853783438,13.427669709458058,326.28699562505375,13.245795365866321,10.018563899992962,12.8674099801292,56.77714585278728
5.468062061628269,304.2878198335702,7.437363669554341,356.2398769926412,8.959664919187212,47.00128155723408,6.507794319013515,98.79139174249096,8.295605885135823,150.59410080779259,9.987075678681897,208.01034028139955,9.12594440615728,167.33035595714722,9.774253523189806,223.9780833626727,7.183684764176347,279.3524673136069,7.617603621699632,333.0088492688689,7.761212094180915,28.85461219369004,7.838861558194318,339.8177831852464,7.458610921244165,28.281487446560742,6.6425550573919665,76.55644400347464,7.202957616567714,125.11563373329895,7.858461256163581,174.55869089728145,9.654317411498738,135.86429743252856,10.169254475702314,193.25639483462237,12.267358295882858,252.26638064558895,11.967495095108877,310.05947116817146,11.217531799270581,6.496468201672794,9.633077011479472,334.52054922503817,7.742007162415599,30.696018423992218,14.82329080135522,81.5232685691253,12.770676699627906,129.93800383902973,11.00974558264761,173.25471536315575,9.37538457476437,120.56448945987978,7.992349900064395,161.36564324794688,6.452459806822941,200.45110810882326,6.658037042969732,245.2118916389687,6.275438262322794,293.2642861751735,5.2174473477843,245.23490974963644,4.132489610551532,290.2566462646408,13.460481723698273,334.06122226503385,13.078446803697208,17.935055317154397,12.443311816564666,63.32855663598836
4.078971434816791,240.34874361873833,5.5310127727544165,293.9210636010395,6.622907993097256,344.53189525638174,4.403112972881175,34.699241475505005,6.6734793137233,88.43603197407106,8.382553453311482,149.71460894305142,8.116001847585103,120.03118310826017,8.47804107478467,181.25454973707534,5.4768863227085145,238.22533294508514,5.8040479324475385,291.3001502026497,6.301253845587583,349.25795862117616,5.733625483342774,305.80286725363334,5.162821172238799,359.96108681911824,3.8590688679226295,52.31074995171974,3.752387980557417,102.3092698366616,3.809841677435275,153.41246438708032,4.64785620377579,115.54300749230794,4.252516571397872,169.01036265599623,5.894833516255776,221.9728707813842,5.5995320559764,273.7997750541445,5.309070777115262,324.25092148449187,4.296930129495562,289.0255997073827,3.3782914938029185,340.15561281485225,11.905776530091396,29.0688912901592,11.67961590268561,78.8823491057151,11.594050998879773,130.39043988152326,10.449715388251763,88.06847369347759,9.596528719252941,139.12733346927774,8.007225855382957,191.58114675387603,7.109101305036367,243.69498964649011,5.935168497094559,294.97758080742926,4.684074910429747,248.6882524988318,3.1018411750721016,293.12829750161774,12.074929698120359,337.16586500476205,12.124737905172696,22.07186217597399,11.629502477375615,69.124215517437
3.0033343180119743,229.34766518636286,4.185526628377715,278.44620484108316,5.299727789167402,326.80330250613963,2.72113162740297,16.222305485555726,4.104584810345935,64.38883779724569,5.702429016088719,117.4829761324149,5.099294676202838,71.88375505315909,6.132751805921539,122.74238758870561,4.356002690930845,171.94994443199852,6.052425230842855,219.74158678376244,8.273304758636396,272.31915200280173,10.9346340234979,225.3498760642973,13.288383684547421,281.77090341860605,14.928151888819965,347.5854116139169,16.365661066953123,63.29377589241226,15.498724059051002,136.83235340495878,14.455621544208883,111.27697280936806,12.677423181802027,171.35011613505526,13.165120944164865,228.2554010364529,11.940504298541759,282.24113911856017,10.644132055421466,334.58818335464116,8.709155791402665,297.0039358256911,6.965856946208364,349.42792051655454,14.53196157447009,37.30424523670301,13.222713496902543,84.6861410967486,12.45635250792976,129.07756735123624,11.795973087024334,79.75345520350177,10.911776464634283,128.19715619830947,9.494361754933406,173.3946880883523,9.675641118818625,225.47531870332813,9.088096830540913,278.96999809038755,7.954549633281104,235.296310676976,6.3917939288829775,284.0937815901505,15.34253336973857,332.26782129063224,14.712407605263959,18.267285810456944,13.806604121404728,67.33838391575037
4.566186352917411,290.98211856696753,5.667291610028698,342.9135249464584,6.5991861987003855,33.024148680443105,3.7385967303913117,81.39662156912637,5.407387812301572,130.5230273204422,6.861835233906788,185.3019916765645,5.8169090049374015,145.13480300340385,6.344030899790827,196.8575202972606,3.871071910654011,245.29623479009157,5.045588439309908,290.12182074294253,6.767039914807816,339.86065722838396,8.006894341844509,285.23199415037453,9.447409770591413,335.75155973104887,10.557269118847037,26.56167676197133,13.490203289837622,81.84010092513036,16.446625341322413,148.95870458845954,18.888022095907914,138.15820533567424,17.13553757327446,212.11642455487814,17.146379075067202,276.1303745892265,15.355078617609847,334.19536320797346,13.766900541780139,28.396724497207106,11.775161965402072,355.93292833673223,9.881194676071116,48.71789458441934,17.149275418473348,98.00594179727428,15.784560633583938,145.09213404319834,14.839326523330618,193.19832357568598,12.552587016584152,146.49137903707484,11.112087436823575,191.87436581206003,9.227510542074855,236.35205779744464,8.510577911764745,280.2597780530953,7.800955198063024,326.7581060671618,7.071516927802483,272.56826729083895,5.861555299468376,317.570153303498,15.272046861430715,358.95178845590567,15.352503608728055,42.02816972676602,15.31961159684297,87.25144657685935
