metric,lowerRange,upperRange
TLM_5_Tx1.1v8_A.Amps.Now,NaN,NaN
TLM_5_Tx2.1v8_A.Amps.Now,NaN,NaN
TLM_5_Tx3.1v8_A.Amps.Now,NaN,NaN
TLM_6_Tx1.1v8_A.Amps.Now,NaN,NaN
TLM_6_Tx2.1v8_A.Amps.Now,NaN,NaN
TLM_6_Tx3.1v8_A.Amps.Now,NaN,NaN
TLM_1_Tx1.1v8_B.Amps.Now,NaN,NaN
TLM_1_Tx2.1v8_B.Amps.Now,NaN,NaN
TLM_1_Tx3.1v8_B.Amps.Now,NaN,NaN
TLM_2_Tx1.1v8_B.Amps.Now,NaN,NaN
TLM_2_Tx2.1v8_B.Amps.Now,NaN,NaN
TLM_2_Tx3.1v8_B.Amps.Now,NaN,NaN
TLM_3_Tx1.1v8_B.Amps.Now,NaN,NaN
TLM_3_Tx2.1v8_B.Amps.Now,NaN,NaN
TLM_3_Tx3.1v8_B.Amps.Now,NaN,NaN
TLM_4_Tx1.1v8_B.Amps.Now,NaN,NaN
TLM_4_Tx2.1v8_B.Amps.Now,NaN,NaN
TLM_4_Tx3.1v8_B.Amps.Now,NaN,NaN
TLM_5_Tx1.1v8_B.Amps.Now,NaN,NaN
TLM_5_Tx2.1v8_B.Amps.Now,NaN,NaN
TLM_5_Tx3.1v8_B.Amps.Now,NaN,NaN
TLM_6_Tx1.1v8_B.Amps.Now,NaN,NaN
TLM_6_Tx2.1v8_B.Amps.Now,NaN,NaN
TLM_6_Tx3.1v8_B.Amps.Now,NaN,NaN
TLM_1_Tx1.1v8_C.Amps.Now,NaN,NaN
TLM_1_Tx2.1v8_C.Amps.Now,NaN,NaN
TLM_1_Tx3.1v8_C.Amps.Now,NaN,NaN
TLM_2_Tx1.1v8_C.Amps.Now,NaN,NaN
TLM_2_Tx2.1v8_C.Amps.Now,NaN,NaN
TLM_2_Tx3.1v8_C.Amps.Now,NaN,NaN
TLM_3_Tx1.1v8_C.Amps.Now,NaN,NaN
TLM_3_Tx2.1v8_C.Amps.Now,NaN,NaN
TLM_3_Tx3.1v8_C.Amps.Now,NaN,NaN
