OP_230607-19_19_11-None_QR00006-ES2c_TSW_1p14p491_CCG24_PCG24-CGNone_None_biasNone_p-40_rx_Beam1_HV_17.7_21.2_GHz_both_21.2_GHz_45C
cal_frequency:,21.2
date time, 07-06-23 19:19:11
itcc_runner_version, 1.2.5356
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo_Orig
lens_assembly name, None
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.14.491
# Initial attenuation, 5
# Terminal series, s2000
f_s, 17.7
f_e, 21.2
# f_c, 21.2
Source power [dBm], -40
IFBW [Hz], 200
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,42.93049725
barcodes,00006-ES2c_TSW_1p14p491_CCG24_PCG24
27.677490747678995, 119.33830923091462, 29.490467919377316, 29.938521170380124, 30.98670521551187, 298.47639566794373, 31.75381443013319, 208.9592174396156, 32.83454096643985, 119.48898165591548, 33.83283778598321, 30.0474452348954, 34.812063287791844, 302.0602372995222, 35.53089846773025, 211.63211203328297, 35.748037199140974, 122.22095567393312, 36.19005927239514, 37.05378449738049, 37.14044550934873, 310.5699901574793, 38.2484965537694, 216.22010270492783, 37.147089552272256, 121.67619074518369, 36.315840949467635, 42.24850063095749, 37.22632058146686, 318.18269810632563, 36.93638810988044, 228.46670247462606, 36.21876464272218, 146.41759133460567, 36.518851989133125, 66.67719002251712, 37.25828303086747, 344.581965816691, 38.71607553727935, 253.8093852579505, 37.49516384860807, 157.57769422573696, 36.53641558738955, 80.31997382805423, 37.6655188872964, 355.3447662143233, 37.40929938639127, 257.6214884443029, 35.54469325860174, 170.74965649612074, 35.06245179080831, 90.67545840084922, 35.20786984992584, 3.1498024247749075, 34.18378813793392, 270.22722256654066, 32.360303229436475, 182.4802910033183, 31.3289303852727, 96.36489274966156, 30.0492732261886, 7.1738426763794605, 28.131681866782262, 274.3740700365091, 25.44356444666508, 186.69586959526023, 22.070460118782613, 97.50708439448464, 17.943720150559063, 15.334137592539765, 13.291157518965441, 296.5263394448412
26.438166945175325, 109.85889148529886, 27.934169516331046, 21.308385941345538, 29.095015540709838, 291.63834216579687, 29.825545605124905, 203.78320513090247, 30.714841969473202, 117.95409252459284, 32.18545271842184, 31.716334085192273, 33.58715197624787, 300.83325766989805, 33.785103486701445, 209.84679318880916, 34.168854727469686, 126.19293517049937, 35.85894655491782, 39.26017079156366, 36.39621089594953, 303.6140369503908, 36.021381632213625, 215.80155981519485, 36.60569387137923, 129.2739089585679, 36.777676144148394, 38.42266697914204, 36.400301016582915, 308.2178706461034, 35.55694608245966, 223.81661145482704, 35.547742442180464, 144.01625700178116, 36.38917349282103, 57.89643343951578, 36.41064556337371, 327.5664570282477, 35.811239038083315, 241.12031906021667, 35.889144628591986, 157.30174119145482, 35.8803845525367, 66.59655264390568, 34.86441678151386, 338.37902307243036, 34.36065503291455, 251.9888611685283, 33.496678295415315, 162.3736843450545, 32.4976744890526, 77.8203076274528, 31.659860421704813, 350.4813463956079, 30.211109865937967, 260.27308869464116, 28.268265754867606, 175.646048394357, 26.539692869930235, 87.51924120495714, 23.98003234391784, 2.5544718748010786, 20.27175498674092, 280.5364117966766, 18.25508672052079, 216.73758989765722, 18.78960199211573, 137.520721778153, 15.1124519046114, 35.50144257181107, 8.710994875463177, 332.58874349380557
27.12825131213542, 145.5928051758323, 29.120442247085446, 55.9854713041847, 30.4612584665131, 324.6142004711055, 31.248339557280662, 235.86990702516164, 32.361472109008865, 148.77612952877942, 33.792746962504644, 60.380823335039054, 34.97272861696589, 329.75108037202625, 35.40291073547333, 238.76555849538806, 35.83245772489632, 154.20831364151277, 37.32478079686007, 68.16722786459582, 38.51511467119926, 332.5892650891808, 38.08259143873927, 239.9003199437352, 38.2755581701025, 153.16085565711535, 38.373058159898406, 63.093251437536004, 38.33988221735681, 333.8362976698274, 37.67313915850361, 244.31784234450714, 36.91324267684151, 161.6832515125515, 37.293070750212024, 79.13913155594882, 37.729320281485556, 346.3857856999936, 36.26788795993391, 256.92186744559933, 35.93928790073939, 175.5096496356421, 35.59905910306664, 85.15674773608917, 33.63879662651804, 358.36265830511684, 32.546125723330896, 279.28616595390434, 32.158480649403, 199.02251552200295, 32.039127434176386, 112.57844856576914, 30.699370224569932, 27.777040819052125, 29.8556198922029, 305.5259732000681, 29.287766592468103, 218.50233371485763, 27.88646006525395, 128.10461027784285, 25.67411564268733, 39.516489222860415, 21.970204512107912, 312.07029499469286, 18.458605810248937, 251.203279796074, 19.306395219084152, 181.3659036449354, 17.518528452061453, 84.05810782695018, 14.126490584746236, 2.7064925845200505
29.155634971967615, 257.1177074303998, 30.827157292855233, 163.11924731147815, 31.641474787986752, 70.38524706737053, 32.622009790741856, 341.24535241801044, 33.42101327408055, 247.3611574487001, 33.552563012536446, 157.53578425753636, 34.16853489857597, 71.77194298846214, 34.79526644829492, 341.60390056554286, 34.78124133782409, 251.73050373985956, 34.66579060237372, 168.16657734193578, 35.54923651883438, 85.2392632833461, 36.537297059816034, 354.5402581606923, 36.387672115580564, 263.2245098134736, 35.694464396740784, 177.73199194495393, 35.76554230372237, 97.13211918761176, 36.75054113895851, 11.18542271696123, 36.32099802177399, 281.5604729475982, 36.1194769981321, 200.38878153911344, 37.155001103303206, 117.3727394976601, 38.045559374914674, 24.710497512327546, 37.12671273592859, 291.3996988853545, 36.369525900375834, 209.45621901763846, 36.87999455751539, 122.2064199730712, 36.46313518529282, 25.662078895521635, 34.738599140698895, 295.17266745651347, 33.543523431051106, 212.39755200928875, 32.7212723611178, 124.90540881303069, 31.206567437785417, 37.050433314334526, 29.793821981783104, 311.9422160245094, 28.466431265861132, 224.54764349195344, 26.79353013699695, 139.1546002140478, 25.386472847698602, 50.57655342586026, 23.140827192649578, 314.893975138372, 18.217983434763408, 218.36021969950318, 10.50940111659834, 142.42573273772948, 4.156360266659344, 105.1006042451736
25.395127798356448, 323.97658318838444, 26.994408418459408, 236.4651482472161, 28.325364821032256, 149.73950230254044, 29.48268921336532, 63.44010112347294, 30.824249152756092, 336.5263173010277, 32.24383659752882, 248.65341193706823, 33.997315826258756, 161.8283891997532, 35.55330198813482, 66.89824110436024, 35.84940084366693, 333.34169412814873, 36.29110080332166, 244.59225480960237, 37.478623861044845, 153.46470696761267, 37.6797236702178, 53.764508009744084, 36.39718439895737, 321.8335728029467, 35.48908956137686, 236.53455229203541, 35.50715921864925, 151.7769403703719, 35.33268952404911, 61.902314767441666, 33.715425822800995, 333.97438773040517, 32.97965253232267, 256.382423883661, 33.62372636273622, 173.6770604241867, 33.28917581408585, 80.70423376228705, 31.6374155089809, 356.74408673420373, 30.957797322410563, 280.2428595794692, 31.52111250936069, 195.86972341768188, 30.90386438739703, 102.13682362045971, 28.9905736886578, 14.640293131803338, 27.381860463816764, 292.74922455882273, 25.4592020875793, 209.00143792678708, 22.766275466317115, 130.18472842678398, 19.64064163426045, 66.82709552164353, 19.460807851922965, 12.046981934405007, 23.303734933808762, 302.81756401673243, 24.97957640104468, 210.53213098235156, 25.784473430443207, 116.44114654771722, 25.572985124342644, 14.521233391538772, 22.434325354128447, 266.41617026369113, 17.206384579869873, 177.7747937783687
22.984907492223353, 96.93584202055308, 24.68081940379285, 10.342713461889067, 25.994897734244347, 277.76634953128166, 26.275865489307, 190.16330209589614, 26.941288780396604, 106.58486676530846, 28.263787108205417, 21.17891213240905, 29.26955389427551, 293.18747056091956, 29.475043305128672, 206.14990649314763, 29.590006311542854, 123.66979462956422, 30.57560216214273, 42.49315732783708, 31.603998488253076, 317.6216721834857, 32.48262691129189, 232.83251324414184, 33.58003217210055, 147.83601010215344, 33.72102188604102, 58.60835029674338, 34.38631009501116, 340.80578722799004, 36.799864375110644, 247.34908457631118, 35.525860438496, 154.05034618338067, 35.916101011979734, 76.10782471094856, 38.09929727815811, 344.6429648923743, 37.013935302822276, 239.2399315279553, 34.777552660320765, 156.62064927297504, 34.66824552252666, 75.3592959501947, 34.0025266866631, 343.6361495260041, 31.832367406413407, 258.48607403044133, 30.236625980038472, 182.62073163655182, 30.128138225413363, 109.23814460777093, 30.428699071948067, 27.966801095191812, 30.335745470155974, 301.5844210596605, 29.589962862932325, 216.5249280564886, 29.012557936089543, 130.80147241000756, 28.28382723499695, 42.63145939929196, 26.321391460897935, 313.65951714478916, 24.128362195509354, 227.25263508677222, 20.975311925534008, 142.7693059588022, 16.852564705526454, 62.00918281117911, 11.683688043470166, 7.008352703675952
20.308277323547035, 358.59811209079055, 21.802155207570912, 277.02656998383395, 23.49581671335062, 191.6035349494797, 24.163186242145656, 110.79157531786362, 26.178292561388435, 31.945102357434795, 28.73580054129148, 304.0365144669017, 30.447962200442397, 212.3381661776302, 31.096361110561958, 123.0759197926899, 32.12710698412259, 36.87039864656164, 33.11547526784369, 306.2321255737146, 33.629407102846606, 218.24734882252804, 34.19627102765267, 129.24679038469162, 34.38823896567448, 41.092950722858795, 34.315276232246305, 315.72361792723507, 34.67635654951019, 231.35728744172255, 34.97556924435274, 146.76664380200438, 35.044929336173595, 60.37729149020522, 35.02704274159681, 337.74715382780056, 35.77855900467978, 254.86037734204447, 36.39154129883817, 164.62891873408992, 36.31820300624405, 75.0349775318872, 35.64469600233606, 347.67505904296775, 34.92134990225128, 263.29847713515323, 35.1047145094831, 179.3448298668678, 34.652819004011015, 87.87259001577611, 33.35619317554795, 4.222158940211235, 33.064425643447265, 282.96727178011145, 32.52939875210872, 195.16978656128964, 31.801664847130052, 109.44014691603944, 31.098925314284635, 18.175438512475818, 29.39612495616572, 287.70320475556406, 27.133791212259936, 199.46753783627744, 24.963624151493423, 118.12637518521413, 22.775994811157098, 27.315813494753257, 18.292014307861557, 299.6728210027643, 14.213101953061253, 229.19516194905094
20.50437039310355, 251.89304729838716, 22.506446520988476, 166.1662103161086, 24.145196523874745, 76.81017601837071, 24.904862376909605, 353.1245300190625, 26.457372379706094, 273.52333056780424, 28.970796203121132, 189.9758080408942, 31.101727593089436, 101.09414336705598, 32.69146720570052, 13.747673121065244, 34.76914855634589, 283.77859719714866, 36.188565945728385, 189.10320864533287, 36.81149716867323, 96.50297320058009, 37.68650394135086, 7.079260520041265, 38.73424229818336, 269.97954786640935, 37.6547088326782, 177.3393223579664, 37.97382594866462, 93.4769163742804, 37.90521770318843, 359.4072949493732, 36.91214623836858, 274.94687268508324, 37.14884400532615, 190.2065282135571, 37.28099244798811, 100.68232117250386, 36.490122931464875, 11.465413728100451, 35.69333598650564, 288.1488355972814, 35.477763303790134, 202.33432720305248, 34.78120692802714, 114.05160745904644, 33.53189352543338, 28.245868249207795, 32.510230566531774, 305.209187708062, 31.718654114146286, 223.36272597613043, 30.691466356686043, 140.62463811345606, 30.19228378643295, 57.7810456739957, 29.06836557950315, 330.54193648230233, 27.598471563102656, 242.67793688437172, 25.636339103500067, 158.8820824969405, 23.122204079364312, 76.68882566411746, 21.646413610054434, 0.8452386330993809, 19.646035992960698, 269.1354201843501, 13.574014598362133, 187.55439511583666, 7.4100097588053835, 144.51813849130684
20.883050692355475, 188.92998373925698, 23.177078143865085, 100.17213803165052, 24.64156241299731, 10.659206143707445, 25.43605781209184, 285.65079263301175, 26.946585020339793, 202.07382935986635, 29.393187560062426, 114.11991342447173, 30.052307078122787, 18.99732579950433, 30.1368423446719, 297.6903550050861, 32.22044822485468, 213.6522350494022, 33.371361228221836, 119.49740367213538, 33.4070393597339, 30.94372963495174, 34.356437771739074, 305.03232468668017, 34.36886998929743, 211.0914317779159, 34.06432432485923, 128.94722727536833, 34.863320835225494, 39.0906018365817, 33.36120999479061, 315.1071240966628, 33.94910654349369, 238.64309124257773, 34.777764852300585, 151.20752753945249, 34.52284196174672, 63.160914681504934, 34.08546534325035, 340.31394972546417, 34.49159786557722, 258.679804662098, 34.40801855707319, 171.58765447768133, 33.92542982643769, 88.52277442831966, 33.96421422533973, 5.187250277484866, 34.02534288747613, 279.692954770866, 34.06531269236798, 193.2179070900706, 33.65448274313096, 102.82512494654804, 32.20109166513785, 13.913193827111492, 30.531325345683406, 289.28036031112197, 29.127700055667745, 208.76487142689444, 28.579450193643442, 130.51415012980078, 28.42158731953472, 42.57526145855871, 27.397566152512304, 313.0848047608945, 25.043150111297827, 218.98665345599437, 21.681954651168027, 129.5111178978086, 16.86906565397377, 45.54752468080031
22.83948878946876, 254.7665333669279, 25.029768830207956, 165.73875091589616, 26.92201016099709, 73.3640956993771, 28.133959053803824, 340.90935805181454, 28.970729250295545, 248.90527925780083, 29.610180132798817, 159.2238790963787, 29.965982600866667, 71.43308634176721, 30.46656398823137, 343.821594207725, 30.68190654087774, 255.85896671961106, 30.916393805075796, 171.8064585245606, 31.344247584796058, 87.0833741283889, 31.927689037185477, 1.9219497309225888, 32.1677114707953, 274.65236685824647, 32.215221122317374, 189.75744500140468, 32.22278613719875, 106.81196579909098, 32.532286941999374, 26.15303332445448, 33.674951607005646, 303.8759388908129, 34.56319748909221, 213.375465356657, 34.417190602877625, 125.38372568146448, 34.7303249149202, 38.335910770309255, 34.429626300969765, 307.8738318799531, 33.68876702808186, 223.45336951080847, 33.67924370046801, 138.89659809560638, 33.54903064577101, 50.640792710706, 33.00851602847502, 320.2120818907137, 32.1110844390941, 234.6257507613313, 31.43847254611199, 142.2959944648476, 28.58761638568042, 52.06864113460323, 25.55563730082051, 339.88854338943855, 25.59464952432664, 269.6447406958863, 26.351352255101617, 188.66280438389316, 26.14292125082001, 96.36351444884724, 24.987920271062897, 3.432176005708223, 22.296411772353444, 267.43461199246144, 17.03710701998553, 173.7013043960564, 9.944616014300708, 110.84683319067223
