Lens and feed coordinates within the array global CS and probe rotation angle - Lens: EVT_Rx_ES1_V10_Npa48_UnBal_L6-89-10_Nominal_17.7_21.2_Nf8 - Array geometry: Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022.csv - Array Tool Version 23112022
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
3.00,11.00,-32.50,18.70,-23.68,19.39,49.50,229.50,49.50,274.50
3.00,12.00,-32.50,18.70,-27.02,24.26,229.50,319.50,139.50,274.50
3.00,13.00,-32.50,18.70,-30.36,29.12,229.50,229.50,49.50,274.50
3.00,14.00,-32.50,18.70,-36.24,28.66,49.50,319.50,139.50,274.50
3.00,15.00,-32.50,18.70,-42.12,28.19,49.50,229.50,49.50,274.50
3.00,16.00,-32.50,18.70,-44.66,22.87,49.50,319.50,139.50,274.50
3.00,17.00,-32.50,18.70,-47.20,17.54,229.50,229.50,49.50,274.50
3.00,18.00,-32.50,18.70,-43.86,12.68,229.50,319.50,139.50,274.50
3.00,19.00,-32.50,18.70,-40.52,7.82,49.50,229.50,49.50,274.50
3.00,20.00,-32.50,18.70,-31.30,3.42,49.50,319.50,139.50,274.50
3.00,21.00,-32.50,18.70,-25.42,3.88,229.50,229.50,49.50,274.50
3.00,22.00,-32.50,18.70,-22.88,9.21,229.50,319.50,139.50,274.50
3.00,23.00,-32.50,18.70,-20.34,14.53,229.50,229.50,49.50,274.50
3.00,24.00,-32.50,18.70,-17.80,19.86,229.50,319.50,139.50,274.50
3.00,25.00,-32.50,18.70,-21.14,24.72,49.50,229.50,49.50,274.50
3.00,26.00,-32.50,18.70,-24.48,29.58,229.50,319.50,139.50,274.50
3.00,27.00,-32.50,18.70,-27.82,34.44,49.50,229.50,49.50,274.50
3.00,28.00,-32.50,18.70,-33.70,33.98,229.50,319.50,139.50,274.50
3.00,29.00,-32.50,18.70,-39.58,33.52,49.50,229.50,49.50,274.50
3.00,30.00,-32.50,18.70,-45.47,33.06,229.50,319.50,139.50,274.50
3.00,31.00,-32.50,18.70,-48.01,27.73,229.50,229.50,49.50,274.50
