CT2_240701-17_17_54-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam1_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:54
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,40.32914338596491
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
-29.4082713168143, 166.1355256440262, -38.68556370883498, 216.42867413876425, -25.300229213421808, 294.47135390460375, -33.59938734905494, 67.61048532226985, -36.99419782627799, 177.3894082221131, -32.649023510663014, 276.39356569833365, -34.94622713327593, 11.052195377505964, -36.00412706070785, 180.10233319404176, -34.95840455555261, 105.43881825538742, -38.445602508235616, 271.9841052435873, -30.167253724982473, 136.0972910390695, -30.13464957665412, 186.84017148609678, -31.81104543817409, 285.13947737117894, -31.34870012301829, 162.61667472664385, -33.58087250059424, 185.13592621519487, -38.40917066396831, 47.29760267592306, -38.38083087233366, 38.35182080693949, -35.842299305989386, 278.62197648671525, -36.37754685256505, 233.11947012216223, -33.98522824436355, 90.18828942726404, -33.73369746131149, 4.518856344670305, -39.31579172512447, 278.89602644976605, -28.51746645261509, 25.852546761473228, -24.578207402086434, 287.40910752522734, -25.530756193690575, 223.7306452902892, -23.78498490774417, 153.70339216278944, -27.698107049712792, 11.90830430955963, -30.69783629701019, 316.433981569454, -25.064547204955247, 260.6124796766309, -21.76077943375139, 146.70577557431585, -29.92054930733397, 135.99624983013567, -32.10869943440755, 25.017309583910585, -28.503636357423346, 339.3382322049623, -32.84192428410458, 256.32819739035085, -32.32736789108758, 240.49012954927662, -33.479472236027455, 337.95218462894076
-31.782884062243447, 4.3412566806618775, -27.79926975923857, 248.05489704962372, -31.068992720182095, 107.24156391888852, -34.509638886227584, 117.51177121813369, -43.43400021335208, 176.40528356942423, -33.91861619732387, 264.0209985249581, -31.369613895457938, 151.22949535304392, -27.631550417991292, 196.2546186456824, -35.08137276898106, 119.75124894135534, -42.17941924759106, 14.97056595593939, -37.76539478471051, 264.6327300465697, -65.1269229781528, 122.49613132005908, -35.789938954425786, 244.57400274461264, -31.515699213948302, 339.4101415173566, -35.62774137019723, 63.85008659974105, -29.161055770049536, 38.94070218855292, -29.88077292911776, 165.54886056264712, -26.818625164763304, 160.60611096045125, -34.716343849440115, 114.99872384162518, -28.274930117473286, 264.1391989744453, -27.362978137812778, 336.7707106463054, -30.92380687700565, 229.57043325723546, -34.989124711950964, 49.23339357718751, -27.671872310421037, 124.1089150575516, -25.39273306341287, 350.51345056763785, -24.935045145879677, 323.20146034494337, -25.294919155703, 181.01749996770434, -32.414624140104046, 74.20298033515611, -23.774670976735706, 16.937953450981702, -26.562666893972207, 274.88757719896716, -26.5320687452836, 170.23507494891265, -24.30857542878265, 92.45586850422265, -26.15416738873369, 94.43311908045636, -33.136609286524674, 267.5435440624179, -32.58280855387988, 246.9392250189836, -40.275647590786136, 91.04930551908586
-30.847384557488986, 79.35286068591984, -51.193759887215656, 64.13405654965693, -42.82725707985211, 262.66836408248776, -31.558998903044987, 43.488423493717974, -31.703341786464648, 290.9841513454643, -30.475273884013816, 91.29016958672247, -36.12497506086971, 246.1700961735028, -41.05193419189284, 323.47662196422436, -31.410474358243235, 76.02330309344858, -40.16513135179999, 35.263495103973376, -40.05339196094103, 284.92698229736266, -35.17905254248855, 226.6880790893501, -40.33688730445486, 211.69753860209795, -32.44602176357561, 71.42497797905901, -31.210375898349906, 140.4855037276484, -37.10450894205999, 183.59330887248706, -31.1790442785707, 172.32618235753392, -23.03866295338516, 201.90810025298353, -33.408383669714226, 13.331688667035843, -48.79673344677758, 267.0434609212737, -39.10866530445203, 18.393201515060937, -25.67080299208049, 177.57273635432617, -33.98859217141227, 155.5944588863753, -31.62182173469411, 194.34438023508463, -28.238987001971307, 18.78543174317385, -30.762044017913347, 336.41503555311857, -42.849156405161075, 240.14846821491832, -31.892601486232937, 134.1320633193263, -26.780653947116072, 109.22863147756624, -23.21530031618098, 291.73493759237374, -29.132280346889914, 347.2895544278278, -28.415682648698844, 185.62001575739558, -22.02246251127899, 114.13771644839262, -30.376432977906923, 335.3480556998665, -26.35814751996047, 261.0264712903836, -26.354290984163384, 180.3561281651509
-37.12459118453798, 198.46896269535202, -36.17165024803565, 304.5057904693397, -36.91269139015582, 49.0047102561209, -35.53810640314968, 340.6497728750922, -30.222278245504807, 284.38018667836434, -40.008926014099984, 354.0944422866769, -38.839892580945204, 303.9369217625333, -31.620186346062923, 186.03681960194575, -34.61038333840551, 221.70603371532195, -23.680717120388238, 297.49699916423276, -35.252523668116964, 64.26944184227288, -39.83335260094925, 211.93550108630808, -32.815888702498064, 355.66998742728174, -26.40773180136412, 357.3517939660218, -29.260896236971185, 186.10280595948868, -32.06191730765767, 55.89590772618718, -24.79987942083731, 53.196701998076016, -44.633853287361084, 145.27173406000313, -28.367387032095955, 64.72847986309301, -34.61015834976302, 278.69852362655, -38.51220865760165, 242.04494735653833, -29.974256519474125, 190.57344415469015, -30.820656183813867, 139.54291457626942, -24.76465509666776, 17.72100288753407, -22.302260433485568, 278.5553324857107, -31.63699470773127, 228.30120977475548, -26.3285083152519, 204.2174469720578, -22.122947080681108, 70.25780305902515, -27.146644172520027, 340.94205588147463, -22.389130578049855, 255.40868803236742, -25.18113647594602, 196.10852231835887, -34.02800078460218, 102.01419031925982, -27.39084877683395, 33.13361934351555, -30.683050058607737, 244.90445785612582, -24.864189683098857, 213.8285741202352, -28.8172218908174, 107.37305035330118
-52.713650513100106, 272.34998976769964, -33.85353968098181, 161.0932161698992, -32.91852502403294, 204.63169489780546, -23.818204520328962, 15.07020767805519, -34.29222625415095, 159.51169110202864, -27.53960087798637, 343.0892270353239, -39.80977832490649, 176.96910862852323, -36.84464572132405, 150.8078618198808, -38.70447701147569, 15.035648801380981, -32.744107739832145, 347.2444081681261, -34.0986577014508, 18.997070626756493, -27.05144491977797, 142.6964970654607, -40.42847589059377, 237.96811847684052, -29.03139824490522, 335.16930559343314, -31.75485240426841, 240.1878548059571, -40.047130243192505, 92.26181394902346, -27.67780745087083, 86.05264560022762, -30.18530856499105, 106.13075978941433, -31.805749712872657, 196.1704061966068, -31.567515600372204, 171.66985861794424, -30.628211253336268, 331.6860649608192, -29.38139947594904, 200.1606531418007, -32.13275662241713, 126.07468701454343, -29.344524926394197, 11.605790850754447, -35.304803765289314, 314.90487479459705, -30.815751293355618, 243.45156915542861, -41.3583890364968, 167.7454380271588, -25.732301181815572, 84.27066988240566, -24.40154280363243, 351.15044517739767, -27.473687210011285, 233.5857192284264, -21.331711999976314, 202.11527113817328, -27.402053774645857, 115.7394013941552, -27.23893216116139, 78.09056084242124, -25.6311950111904, 315.5208290353779, -31.04550957431904, 346.48026279776445, -23.751831741142535, 59.06922989771176
-39.97635004749176, 277.552872046335, -30.365041564760666, 182.4089578160975, -33.95768811150792, 115.0703827239936, -34.33634105699037, 265.01959574304306, -38.273363669419204, 56.854873634556384, -42.16092814399964, 256.8579018431576, -29.041666922953198, 165.64783514865601, -37.968306802222045, 330.12423633477636, -35.21699857323709, 36.72041783420731, -43.0425255310834, 292.4270395222535, -34.70730768985186, 248.19651577848882, -33.927464038767596, 298.9128112756988, -29.024031497064207, 343.7774345545341, -30.297094532036898, 26.713177699921765, -36.03678162295339, 303.8138786993267, -29.361364062109274, 121.3183434263029, -27.42248259180024, 98.02401227184585, -29.209957417981663, 69.73406433805431, -50.88107419678073, 41.13812625962244, -33.91539506332143, 258.59987936209535, -33.84116167009487, 217.22492377448012, -32.336137184203466, 39.97046577368847, -27.53548586351654, 69.20681826718871, -40.39688266402548, 321.43691836680085, -25.886518153481504, 290.86137766405074, -26.72885780085549, 195.53448152305702, -22.571542499145238, 101.69450874502274, -25.40542336680698, 26.397713189195574, -23.629831771431242, 312.4909394428862, -28.00213980689545, 274.6054955873733, -27.544233146989953, 70.60260129544861, -34.49672143845558, 95.89004822980216, -27.269386590768132, 36.088836226765196, -25.550820537916486, 247.50491484504792, -26.7970932890408, 190.27728251564423, -27.103273860808276, 136.91178476588254
-33.10205561768411, 244.20747334041053, -28.487011587669947, 63.96485499299531, -32.940411467796274, 210.5829918450642, -48.705686747783865, 303.028495856419, -36.39695944936004, 0.9176725732565696, -31.14109604013261, 79.2142271310968, -30.938243924686624, 324.8917342571098, -48.09263527036468, 192.36870992557212, -32.916559834253135, 68.46758692561124, -32.39608261565171, 209.32917601998727, -28.768091722136965, 328.17759391246364, -29.29614684009315, 120.98236765581434, -31.184908338178126, 49.24443360352819, -52.96366398739707, 221.50613845489227, -28.87550667515196, 293.98577568643645, -37.53929890689035, 216.25947485574613, -31.64571373298756, 339.30472457415897, -41.10586155310335, 283.96819386898306, -43.007493635528995, 310.0506194239987, -32.647257911927696, 345.8306831423665, -31.99527989255309, 104.6858101456023, -31.133604918329493, 94.86864672296252, -33.82231006304341, 117.25008735316307, -24.643114191363516, 57.83076860183499, -34.92621564435848, 33.606404083892514, -36.20899178796097, 208.46078708191305, -30.253084499749274, 112.91128610307575, -35.677949918470496, 224.4281609979926, -24.6883781526946, 341.2333773376893, -26.712907063570796, 286.4376984778506, -26.3942105499927, 221.71522229109542, -24.358457397007065, 108.30144929641071, -20.418156461136014, 51.75497499843491, -32.099892322527346, 33.587645002856846, -35.65019736478193, 225.04606647182192, -24.47197076131133, 102.09267955765989
-33.8513896052359, 317.0375096933245, -35.65069317740428, 57.85895435815074, -35.16260736613594, 94.98443516823575, -36.35050443973809, 262.82235219350355, -40.07751285391216, 73.9502694715024, -29.862057720263614, 355.1635906643625, -31.300083204889027, 227.66998157262327, -51.191443192631986, 286.3235798267902, -36.48811920625256, 62.35109760378519, -32.302615064443344, 69.50239119738926, -27.924220454413614, 323.61858117405893, -34.18269278627358, 29.67991802408506, -30.57767539754066, 287.09251652186964, -33.81145629467889, 123.69659910452532, -29.725939829734656, 224.2716309419077, -35.37389926476532, 62.825348803017924, -31.791461729820718, 65.51625846561979, -28.03101659527593, 223.86332176741413, -32.11736447379886, 333.6428031115131, -39.25497261304638, 308.1765655939016, -41.09184281318032, 170.57471135025872, -30.145786124196853, 132.47153031213844, -32.38817128186515, 223.11234645974403, -39.923895620445634, 62.89458954461336, -23.46037069581936, 93.16369338322497, -29.372296994398695, 43.47608242979012, -24.23103807050506, 301.46352453477095, -26.294779268142925, 147.56683813702136, -23.639207906551512, 123.85309651816374, -26.323978165601268, 357.90692765627676, -34.5326287219506, 323.9167734270302, -28.861976740618495, 242.84570537266046, -24.129771351746907, 164.36390209541264, -23.06129936083213, 91.61962986033157, -26.568881243160604, 50.5993724647618, -31.702190992846212, 247.54719832653763
-37.57876826856312, 67.34324990892628, -39.20117625367331, 224.91335473236705, -38.804073971815086, 142.13245250752647, -28.506566626241128, 246.11677678737283, -39.9313218797003, 274.79420567405236, -36.56054026925141, 277.73972703038913, -35.05802749955399, 305.51638680198107, -35.85534941996443, 91.63513919460785, -36.06006620270023, 207.31090092557633, -39.029322073864236, 39.18598137389086, -33.314830403251925, 277.8315208310699, -32.10212425067683, 205.20189038181226, -28.462808732528156, 102.91866278042833, -35.15324031519546, 250.1409273095398, -27.652106536405853, 39.43505427488909, -33.663027857220854, 108.8572720936951, -33.43610349056731, 269.53397662004454, -41.88366876875819, 267.3096776155004, -50.9397930334034, 67.99261667061444, -29.28370174939765, 283.28652417832313, -24.050789084235863, 336.634146214846, -28.175807096959304, 272.8774313114104, -27.429492576264288, 201.94544295877517, -23.271474086985645, 141.7267835644768, -40.69960536151587, 352.2778634512904, -29.365652945460706, 342.6964866472754, -30.420879870138634, 232.4292606630318, -25.293159094791132, 181.80716013491943, -24.69636812023925, 133.29383863789107, -29.989426298100454, 39.13127770246092, -29.905536955285047, 313.66802272390817, -26.802034042738327, 236.02831338971853, -27.425646309364428, 198.67840695887017, -29.267522281402044, 92.62949640419329, -25.42957691405132, 56.85926099854943, -30.71546425625263, 10.468082056683773
-32.6714386000348, 328.8478180865163, -32.125723896894826, 247.583913041269, -43.64855903625287, 269.54110271817035, -36.23521537195078, 144.7882331332244, -33.35944459511854, 180.51032276928666, -29.917340295448597, 244.4655898385899, -32.880325467447676, 105.90055329770925, -27.406059800521074, 185.1177083871465, -27.303664317139543, 97.25637661863236, -34.60406428233542, 216.27428034328514, -33.0704800900988, 144.8489897831468, -37.67400344259197, 142.5853384155257, -26.48868712115469, 203.72608305806784, -26.225882544934862, 34.830698206506234, -29.611537500579985, 356.4256191269994, -28.871157023605733, 323.0915745694619, -34.28237923146969, 87.35619353243483, -28.80922285256927, 267.3302952389805, -31.04610033308286, 298.46222661856353, -46.689448582110415, 175.27996118237223, -40.98207249794839, 319.5773794055762, -33.24652095499464, 240.20288649783134, -30.05137954648527, 279.2100031469736, -28.54362567266486, 265.0707721686405, -25.36489499916693, 79.41897179849198, -25.954753539990726, 289.7933048555517, -23.23401694403381, 313.3731285035462, -29.447746902140814, 249.9553765105772, -31.028232656470706, 183.89649148673735, -28.49359019360653, 65.42155044454238, -27.770217183050082, 344.9835076636355, -28.857781992438788, 263.73227215133113, -25.08840770685845, 182.6747577457477, -33.93670918807138, 206.92966280221697, -25.473652091895474, 14.005893383343073, -52.30379857524409, 53.40011304278109
