RFA_240701-17_17_54-MCR1_Rig1__QR00169_1_20_3820_Bias_0_Override_7_tx_Beam1_27.50_31.00_GHz_29.50_GHz_45C
cal_frequency:,29.5
date time, 01-07-24 17:17:54
# ER Id, c0094127
itcc_runner_version, 1.2.7059
array geometry, Mrk1_S2000_TLM_TX_V09062022_arrayCalGeomInfo_V20062022
lens_assembly name, None
lens type (rx/tx), tx
Nlens, 3
Nports, 152
Nf, 36
# acu_version, 1.20.3820
# Initial attenuation, 5
# Terminal series, s2000
f_s, 27.5
f_e, 31
# f_c, 29.5
Source power [dBm], -15
IFBW [Hz], 2000
Probe orientation, HV
Beam, 1
Calibration data, True
Temp. [°C],45
rfic temperatures,40.32914338596491
# efuse_data,None
# combiners_common_setting,36
# common_settings,[[1. 1. 6]. [1. 2. 6]. [2. 1. 6]. [2. 2. 6]. [3. 1. 6]. [3. 2. 6]]
barcodes,00169_1_20_3820_Bias_0_Override_7
1.5934479023154169, 355.048164097792, 2.8835017297677465, 62.88149690936367, 4.343159761317277, 130.83587871816152, 5.773210206029838, 203.35828992942498, 7.266355705424071, 273.7034636315943, 8.792458501661773, 348.04709526330294, 10.02855136924606, 64.00585811585962, 10.936348893746903, 137.69230175095066, 11.896007879031462, 213.55348113158792, 12.853835365902498, 289.68173130527975, 13.846973773720157, 8.845475846660365, 14.329788647056084, 88.8965065638202, 14.132605317762206, 167.71343600611428, 13.262854656814309, 248.47964612740608, 12.05386547183533, 324.67118831192573, 10.752553534422555, 35.85241164692525, 9.467668723297322, 104.65188266981141, 8.886808492525333, 172.07767295269014, 0.0, 241.48010761133878, 0.0, 306.274430817366, 0.0, 12.253524976812978, 0.0, 76.27722442966609, 0.0, 140.233753322806, 7.220059082275427, 210.17171275810463, 7.015694151721675, 279.7120000690446, 6.828580287828033, 351.1409331006739, 6.1756240590967995, 58.94711449865967, 5.6103937869561875, 128.35393746667674, 5.078465066923258, 198.36059765150998, 3.7145855765478446, 259.6194864132461, 3.329956339263628, 320.5287447621543, 3.704723160267662, 18.487771935826565, 5.149228126678892, 81.75397089855798, 6.108099416061776, 153.66559963463357, 6.740884005554715, 228.21915745958165, 6.743584072964069, 302.4236435721616
0.0, 198.9523172051396, 0.0, 269.0768427364552, 0.0, 336.39959664032284, 0.0, 44.85319510158657, 0.8668280074621388, 115.23604511255782, 2.180480399724096, 184.99578617093562, 3.843800056239064, 260.1001249513235, 4.497484480056975, 332.6635943945422, 5.789360692511412, 41.240379560005195, 7.464909203891449, 116.31538467877829, 8.8183800332726, 189.75767229579338, 10.165561429067381, 265.90186799450044, 10.647107040071864, 342.9107352319012, 11.636377362732729, 61.82006587328644, 11.3738393129505, 140.69170927577383, 11.22763748807526, 216.0819334969638, 11.078928001484446, 289.74023356135314, 10.808899420458697, 2.869518946161244, 6.672544453054229, 73.11558971206705, 6.755885350203952, 145.91078424703323, 6.738630238833024, 217.26757977517403, 7.004925910344006, 291.53014606771245, 6.92220146288588, 2.817623425639875, 11.057291916189072, 77.6008430769727, 10.723561250063936, 150.8893937080919, 10.304216839422578, 223.0238317645025, 10.38738627202269, 296.14956673986137, 10.207118690988892, 8.643979101929721, 9.84632001308131, 80.62861571043717, 9.379179919757902, 155.82607897875695, 8.333419965940948, 226.6637418976997, 8.02211491976864, 296.2023956852213, 8.024279013476477, 6.193955358911474, 7.702565337008968, 77.9071995076014, 7.310345192510671, 149.85937151004507, 6.681264457432816, 225.38244270115052
0.0, 175.06495639211315, 0.8899946791288611, 241.0052079726504, 2.7771186501480036, 308.64549964668663, 4.689871059100445, 21.38646489705714, 6.663014146215604, 93.5173501905966, 8.467547603345684, 170.5957789624723, 9.907843469189693, 250.5192223842792, 10.611061283378715, 329.28281952354223, 11.20407131292136, 47.26227501315283, 11.65468452922475, 125.56397510520374, 11.857388746916302, 204.60705443474743, 11.994532479963008, 282.0874602539768, 11.58607716459009, 358.7879054194749, 10.592283889971734, 75.80811487761412, 9.657966071166392, 149.35313449643272, 8.414887867014782, 217.2105210726968, 7.381409596755667, 282.04904893985247, 7.263511965926651, 344.50330089622497, 2.8299768998861037, 48.46651521868068, 3.8311316051430397, 116.705682128951, 4.288207907063775, 189.36465424468759, 4.693035753983867, 261.2997415081055, 4.78460566036264, 333.37133809241357, 9.513889919953623, 45.36875007507715, 9.207594206676966, 115.73275569475386, 9.208370684982999, 184.77935089248393, 9.392186474650131, 253.18920827873185, 9.737802978568755, 325.1771444543467, 10.3620059097916, 38.765208062343945, 9.755205959538332, 112.26216246614403, 9.379054865895304, 185.47681039607323, 8.947894438679642, 255.97427197443818, 8.846532642334381, 327.03149548807755, 8.4080864375698, 38.91314036077997, 8.076528842906427, 112.98722264035183, 7.78087780756545, 183.60119409677569
3.0930710531531136, 292.32789550818717, 5.022829095961644, 0.7053299450651824, 6.834363494267425, 71.54998480521027, 9.10308162607533, 145.0565648368252, 10.753129539908489, 223.68135164417265, 11.793497142935259, 299.7270466465251, 12.926175596191214, 19.81055522859006, 12.88166783175788, 99.76149499162975, 12.956985595327259, 175.69287189637242, 12.76911386999323, 254.38016709080517, 12.475138755537515, 328.09110890521106, 12.014171074715833, 41.49029591449023, 11.199727222916064, 113.05382028849677, 10.913731484187068, 185.98656068529675, 9.54070099343168, 256.8331885863007, 8.604783759230303, 324.2930250290075, 7.711715415005637, 28.072223262491338, 7.238556000089385, 91.07392526696499, 0.8887154259198478, 151.54646655335077, 1.2554257406344893, 214.2556811414281, 1.7266398337302924, 276.42725297635366, 3.0702648996876687, 342.39326185551704, 3.957070015354912, 48.763873214045226, 11.33944219056243, 120.0804282901044, 11.994224648004382, 192.3607298016679, 12.137139932087912, 264.2811525410693, 12.688513476542786, 336.04549569711065, 13.02614948343553, 47.90466301394343, 13.130634514312927, 119.43098757682024, 12.830312964535008, 195.69705109388696, 12.19268628064804, 266.4763443901988, 11.971587068523998, 337.9433526436433, 11.67081655220149, 49.16014174963148, 11.22388273135035, 121.22054445255192, 10.274844457852709, 192.1659609919261, 9.0665817944448, 264.0209352912723
0.15723219335361474, 320.2033324461171, 2.1583169331605507, 27.521615449483605, 3.7903311560947675, 95.4076713277753, 5.3451148896814775, 167.1539612027224, 7.079106581468774, 238.57497577289075, 8.262082279813152, 311.6611634161508, 9.589853891950362, 28.930122097355422, 9.672684307588478, 103.46924841232982, 10.179622849783135, 175.71128121010153, 10.32377978462727, 250.0040068956411, 10.606930994618821, 320.86904407150547, 11.239023011072177, 32.99525616441388, 10.911324859087191, 104.76363924805601, 10.651539799838242, 176.09376828308112, 10.26835483249129, 246.13558578458225, 10.045873106079492, 311.21094981654824, 10.195551873652889, 19.116912111699143, 10.33990250362002, 86.7819546930418, 5.6673827210197185, 155.80287416954914, 5.767887172975965, 226.26872396409445, 5.709744785394109, 295.40288247127074, 5.879575350030844, 3.3764587956173275, 5.956453649144844, 72.12417373604599, 11.055041033466111, 141.08238798593038, 10.92495214571387, 211.39952024673633, 10.776758125580475, 280.51897987249674, 10.790496609690894, 348.1966214598111, 10.569895174043118, 58.952299174675574, 11.061668841243096, 128.51492081951892, 10.312517793029452, 198.8056758490918, 9.987139718524977, 268.5294589408805, 9.80153441830822, 336.227893584367, 9.702228555645243, 45.79413151351005, 9.366420520795891, 115.09223908029497, 9.174037960421344, 189.10917789317412, 8.655117906325248, 259.6165597128605
1.303726573047281, 321.68663376518253, 2.862526416709305, 31.949994410150882, 4.366335830291973, 102.70812237893325, 5.899142630851481, 173.80617097794257, 7.330148847268731, 245.79696812143047, 8.431495671282569, 318.14611018999796, 9.266389189253072, 29.863898503996985, 9.996620629204688, 101.67847305088836, 10.81861872581727, 172.20505607969537, 11.872624170329791, 245.38337287249638, 12.792550906797334, 317.9877633090323, 13.277653738930326, 30.63635751347395, 13.61125307492751, 103.76070987709765, 13.906211559973094, 178.27144368471554, 13.742205329307493, 249.47352907337222, 13.818023643354596, 322.15954026164525, 13.70051972260635, 31.1140266090492, 14.076532907762587, 101.36109227143466, 6.286830156926968, 172.39712106653354, 6.525210079513961, 244.3684422171607, 6.3564854068503385, 317.3992236553148, 6.282048411894028, 29.1306936820155, 6.363920380807562, 98.23170386353006, 14.253339859855092, 171.54642551342545, 14.068907808564763, 242.46122187758618, 13.684796175004335, 314.9614797804304, 13.53368497734869, 26.256065043308674, 13.264819096833653, 98.33574039165275, 12.547379969940323, 169.37638847826898, 11.515909702101286, 240.99300258675743, 10.522824763156557, 307.5162869573329, 9.944229371080306, 13.055925836458869, 10.151626170372896, 77.83109331282056, 10.308244993208177, 147.03720336204407, 10.414846933811521, 216.25459172680834, 10.410418014023291, 291.8972889153117
2.694684020468194, 317.0499935752486, 3.8912920354675427, 23.549821339554544, 5.358636814566688, 89.50526336776231, 6.8429323755898235, 160.71336073806106, 8.533158309218859, 230.24887837920673, 10.216338099332212, 305.1671684069032, 11.294073779556555, 22.72214957106569, 11.74891475472047, 97.54392407183911, 12.052183407408222, 172.64220232096682, 12.338016023123892, 246.16919330166974, 12.70557425143133, 321.5804633127657, 12.80917179437296, 34.8963754525784, 12.39803605782237, 109.09804251353611, 11.331064628794943, 181.2514366671842, 10.589241619651958, 250.26314954701334, 9.943398460649288, 314.0915063110142, 9.712182958258655, 17.43151082158024, 10.231877624930458, 82.71256978811572, 3.244944249487914, 151.15930189424284, 3.670498900301553, 221.77402997310733, 3.6996512616508763, 295.67008735279734, 3.2702413004111266, 5.5021435524282305, 3.076860396811924, 74.50852042365707, 9.973173236245094, 143.14658238883013, 9.479165325749427, 208.83755226734988, 9.237229310619764, 275.4325352030034, 9.242780101220525, 338.4709955797129, 9.536430801549471, 46.079444717973004, 10.270997397528141, 115.02953099995992, 10.115786269202534, 184.78770643496074, 10.055360273759273, 256.00832577199094, 9.840668571790022, 325.1708002799536, 9.9079628654133, 34.78238932597347, 9.636716828706206, 105.73106617588508, 9.22145225164968, 179.21295471162878, 8.808109305458904, 249.06157456124015
2.604014140584443, 215.46117515550736, 4.591338553296043, 284.7088499364655, 6.4080902254920735, 356.4778433732869, 8.160304756102452, 70.01198362829534, 9.348953290051831, 145.65325809631145, 10.047637462068767, 220.07650976055984, 10.485970716610097, 294.7739686805164, 10.504823163336468, 8.17038124196451, 10.441540466791023, 78.55691682378578, 10.509793427297287, 150.30172435474708, 10.43414097595723, 219.2161486785552, 10.079065381249368, 286.054028110805, 9.887636911755564, 351.030316001066, 10.00384332205795, 59.2114056683655, 9.55408205853601, 123.36215626717483, 9.723178194472649, 187.51630536247586, 10.048166730420888, 250.4822132617757, 10.74750339569847, 315.4613858191945, 5.601529866445551, 22.084007954812748, 6.222603445450191, 89.12157324029096, 6.550277084440164, 158.27923877879792, 6.942285840896205, 227.54392921026474, 7.142113937057584, 294.4864481844063, 12.960530412012545, 4.974183150873948, 12.845950998067284, 73.18925408298809, 12.515573421155917, 142.58650952104836, 12.50720639608687, 208.77393395519005, 12.778884252242666, 275.46593039446043, 12.490847664395217, 344.0441966996073, 12.157235148792925, 53.47606922470487, 11.61490740231854, 119.6823592355891, 11.566241822549678, 185.34020062508, 11.977403819450693, 252.51308339605134, 11.748394970491333, 322.88686668958997, 11.344220648834098, 31.438447725999705, 10.782450872494572, 102.8057996311434
3.267374624042513, 248.08410670075028, 4.982817144366028, 313.2214453961561, 6.70224098742036, 21.179969749821083, 7.989904127479814, 92.70506594793211, 9.267979849499078, 160.55915238346, 10.48978793576303, 231.33928998311492, 11.401763345025724, 303.5451512480342, 12.161974428074142, 13.032853391736785, 12.66761724821414, 83.9604464904414, 13.390783334166427, 152.91450144686144, 14.130442684873643, 224.8503277555528, 14.72347457546175, 294.99114007721516, 15.033344371661883, 6.706453605731548, 14.63983896116752, 79.65041287840533, 14.424597424797053, 150.68333328672418, 13.999353907548336, 219.15643659391375, 13.244632661376674, 287.4244103693835, 12.984652613078358, 354.17110229068703, 6.5773758032462375, 61.594864725778145, 6.109508617007659, 124.68998743432658, 6.007067981376299, 190.64083715564402, 5.874690006646323, 252.55896937305874, 6.343525371211519, 317.63938230268553, 11.832929467427938, 25.54069490608695, 11.76124507149257, 92.66065582979034, 11.416345844187557, 161.0049435367193, 11.123144561933803, 226.51415666446002, 10.818081013836824, 294.2361038189108, 10.854917684436353, 2.7313137860527905, 9.741522157337634, 68.29473894432759, 9.355427409057814, 134.8503759468513, 8.829469426467247, 200.3711746400518, 8.565948830752172, 265.92637236267376, 8.056390769796826, 333.447950550128, 7.5221921019533875, 43.459366230830355, 6.6460117376090855, 110.27595092941013
1.9059812910734608, 213.05418529760954, 3.190872450013411, 280.87553155819245, 4.476838478556093, 348.8350807284599, 6.052135725435239, 57.28785355546106, 7.529690867812863, 128.9703041935718, 8.926568144921347, 198.95264947912057, 10.038454423783346, 273.94701335092, 10.565989737372917, 348.740750701951, 10.870436685207533, 61.64704394298742, 11.274318715144155, 135.19720859385276, 11.627659124913848, 207.17659258034132, 11.454415314371822, 280.357730746963, 11.230135854014286, 352.2414889168098, 10.538215997884706, 67.23522812870429, 9.213873448030448, 135.3408211843579, 8.350212104267863, 202.4422825946907, 7.41096911262974, 266.2223929714959, 7.183667028723915, 328.9971760499839, 0.0, 35.689261714309716, 0.0, 96.29339531282551, 0.0, 158.01491393887298, 0.0, 213.9570741818675, 0.0, 267.3320803964382, 6.3718974815915805, 328.178203781338, 7.795724417646097, 30.067038136680512, 8.924716371818297, 97.83123077546566, 10.330345219962169, 166.95192788348513, 11.489015439787822, 240.5005012188491, 11.378698445771224, 314.5302839727442, 10.949476058071838, 29.90657271405785, 9.933967076549216, 100.33648907088353, 9.0775309830234, 169.86814130811723, 8.448727106183412, 235.6018857618718, 7.790145877636709, 304.4405621089602, 6.837161794070557, 10.671901855118714, 5.614613215768949, 79.08759963532474
