OP_230607-19_19_11-None_QR00006-ES2c_TSW_1p14p491_CCG24_PCG24-CGNone_None_biasNone_p-40_rx_Beam2_HV_17.7_21.2_GHz_both_21.2_GHz_45C
cal_frequency:,21.2
date time, 07-06-23 19:19:11
itcc_runner_version, 1.2.5356
array geometry, Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022_CalInfo_Orig
lens_assembly name, None
lens type (rx/tx), rx
Nlens, 3
Nports, 96
Nf, 36
# acu_version, 1.14.491
# Initial attenuation, 5
# Terminal series, s2000
f_s, 17.7
f_e, 21.2
# f_c, 21.2
Source power [dBm], -40
IFBW [Hz], 200
Probe orientation, HV
Beam, 2
Calibration data, True
Temp. [°C],45
rfic temperatures,42.890566277777786
barcodes,00006-ES2c_TSW_1p14p491_CCG24_PCG24
25.933184822193077, 287.1704771105227, 26.863065002491574, 200.48948098164274, 27.563563680645437, 114.86284763443338, 28.636226423108077, 29.52476040726562, 29.750937002480725, 301.4672078769013, 30.436978529334688, 213.17341781770648, 30.93364490984131, 127.49353923322049, 31.274653769153943, 41.456623216841834, 31.80745501954688, 318.2967397127841, 32.98978344777231, 233.89701662108018, 34.13105926550086, 144.28804499503673, 34.010963835865546, 52.17310646792334, 33.63113553890037, 329.0012902667655, 34.48264186020729, 245.43271800092828, 34.69303447731881, 152.48661800534072, 33.68200835285455, 67.21595461625283, 33.77589618543762, 346.7502685746029, 34.10652258966235, 260.70945329522, 33.88231808194864, 175.52645991130004, 33.6819744744991, 92.4935991085296, 34.18771008548591, 7.7273910824380865, 34.1939805599345, 277.6051577546152, 33.17747207707435, 188.47583898363644, 32.32864465958713, 105.30272723627485, 31.90951817204703, 22.7354044803245, 31.961612138424726, 296.28236914021454, 31.082673293435626, 205.89260988657824, 29.786462982200575, 119.77696336213094, 28.927258131374394, 34.130106454192976, 27.98072305968259, 305.1471034020908, 26.574208641078734, 214.79098769174757, 24.3307807199815, 122.2067597716402, 21.082464589770545, 33.94178525954595, 17.497768900892332, 308.54802855040475, 14.076161455984428, 229.19682880028168, 9.179878238261391, 149.78147839864437
26.05020196987981, 288.24703630492894, 26.536216879573654, 201.48865921885476, 27.273779991923305, 119.76829277980865, 28.58237587473016, 35.73210775886433, 29.648349371790545, 307.06085916266744, 30.181414209337106, 221.50909881606458, 31.154559352887222, 137.20647032206878, 31.603457886111403, 49.83451605210462, 32.265669763560076, 326.7868068288399, 33.5391045483357, 238.62165482662465, 33.83658057612886, 149.37024085319945, 34.140267901873344, 63.258296956623475, 34.36116318307281, 335.53328146514804, 34.33824589478093, 250.77238999453556, 35.01046395554844, 165.02057198628032, 35.09470289251175, 74.54198019013671, 34.66460337820921, 349.6150484728105, 34.838462889062704, 263.0196163622667, 34.53214381388453, 175.3409219316417, 34.147164254953715, 89.57333757736995, 33.99159605684452, 3.4815028771652026, 33.62984382182667, 274.9838701670157, 32.66038459500212, 187.4564412620422, 31.785381030618126, 102.08425858606277, 31.131301772125276, 16.68086177642228, 30.409165575801694, 290.2517179765259, 29.362240213110912, 202.75820792721, 28.05374377917563, 113.75706822566127, 26.129917995753786, 28.697430060935552, 24.63781665112167, 299.01987249116996, 21.906655589451454, 212.33162935269723, 18.16976472282471, 131.13610485131676, 15.829675598940245, 63.13095203308417, 15.557577049366412, 340.70736357925796, 11.622216281264189, 243.23102837844795, 3.9873697959678815, 183.28758791981025
26.496113645216326, 321.3161285824409, 27.329237273095885, 233.3452757283718, 28.183904914194272, 149.4857319380328, 29.443946638235197, 62.98789995958814, 30.48222819461731, 334.79573988355065, 31.127835125310362, 247.5223565060477, 31.675040511824925, 162.6054036304008, 32.21664650621739, 78.5628331354305, 33.340891583466274, 355.45401477468533, 34.79286181801751, 266.7655666707426, 35.298399504172416, 176.66807504320397, 35.7993247115559, 90.38633421804556, 36.665330806824024, 357.9021502474318, 35.86684816880486, 268.14332841554784, 36.17069356783085, 185.86016121034243, 36.940843594599066, 94.26329329184026, 35.99364720428414, 1.210284395427295, 35.12728124722269, 276.4009270613845, 34.72411285144824, 193.06308811863462, 34.652257335494085, 106.55666416077199, 34.02322960834252, 15.043034964009168, 32.16965063914285, 288.7562274493597, 30.68622334634274, 209.26141655023244, 30.177452478903867, 130.44823661057893, 29.55154588529024, 47.97920381859829, 29.03044883934121, 325.73277223181606, 28.38286936491784, 243.55506795623916, 28.094869192229993, 158.01784757628351, 27.330896708574603, 69.54857522626187, 26.069383439613688, 339.37127217916753, 24.01452367707272, 247.71609024424237, 19.7995990182239, 158.08007367875223, 15.71857341856207, 93.90346473421816, 15.736984028929598, 26.68139556066428, 13.665428566277138, 293.3544442631131, 10.326500634848731, 215.20872924933818
27.484580020875498, 76.67288564397408, 28.272551057208105, 348.62723224055713, 29.23790029147358, 262.0208011905561, 30.44004282862219, 172.26494634873472, 30.948337325111087, 80.24370269512431, 30.958245008947557, 352.8059178054646, 31.461444256137018, 268.24893871096594, 31.66970679727699, 180.84604101561519, 31.674851097361874, 97.20880874092416, 32.453948781570176, 14.361438150884737, 33.2006015262657, 287.74294911419724, 33.487629985466214, 200.95379248229165, 33.62430456838293, 114.92671738977522, 33.56673446752603, 30.45782222497108, 34.1198589292352, 307.88971469656866, 34.987370572538275, 220.40671636579995, 34.87440251081685, 130.58433194865975, 34.41604308377157, 47.13659385543474, 34.99832162394408, 324.9295346232159, 35.72240951282605, 234.42650875232002, 35.09930483838558, 142.8047180876804, 34.540597389826274, 56.64966905785164, 34.213613513964795, 329.3589875190847, 33.752686668360234, 239.25625459596858, 32.51305157901823, 148.21927976745394, 30.87599581375747, 64.13822590755872, 29.796606149495254, 342.8773497561211, 29.367995375312926, 256.1851185511781, 27.98024615665632, 166.47864421846248, 26.338509368660198, 80.29701855598233, 25.19691533665337, 355.18288703249397, 23.90826018427825, 263.16882316479945, 21.05918261572093, 160.73825346301524, 14.897508090189753, 65.13494083201296, 7.2502297631171615, 353.32571126968026, 1.0715487094083422, 311.5320913085716
25.461401077264448, 141.10501900416392, 26.66354609191242, 55.56637557234577, 27.877750767729765, 332.1704030705441, 29.47498342620218, 244.42191092002636, 30.570490176903867, 154.15489879887645, 31.14879873937293, 65.46411238829768, 31.883748053787933, 339.9881919662229, 32.339199441325796, 251.794474464056, 32.769623412864526, 167.1133921186683, 33.970691271490416, 80.62979029327184, 34.61553436507241, 348.6664605700701, 34.266880759171045, 258.58011653212606, 34.12559061521051, 172.43084903802108, 34.00701512041024, 84.41030707195881, 33.7297168093412, 358.12481064969757, 33.81096430120442, 273.6245410369121, 33.46843899120919, 182.83780963683236, 32.389714680674295, 97.69809352790028, 31.737106866787034, 16.330413267006435, 31.61266421619421, 292.28723704208096, 31.340448583781523, 204.4423876955115, 29.968991233684513, 119.22419024800173, 29.270768206597385, 38.237547183178854, 29.291641313232137, 313.8324411553722, 28.315780665636133, 220.12456912654812, 25.6959176613833, 133.938996149113, 23.385963153408444, 55.53121308810275, 21.469419380711578, 337.96533313094136, 18.248782063700574, 268.17798161269116, 17.551216938895795, 213.5859716882006, 21.158435804422425, 145.39805386231743, 23.22151837598618, 52.45728165640185, 23.517211203737162, 309.73764876832416, 21.61976474347775, 207.44913497855316, 17.59199637677401, 106.12014291464867, 12.367912633204066, 19.8186508595305
22.020899838044258, 80.97224407421515, 22.823968035084896, 356.8513381482363, 23.80280579442254, 273.3330962202307, 25.041669942719626, 188.14562861289906, 26.0895185417069, 100.91593159230777, 26.51628493678976, 14.019443869915072, 27.269667703267423, 292.0047260016103, 28.1683527130412, 205.48080016518884, 28.47023015453766, 120.02681893660099, 29.028650968976205, 38.65207470110355, 30.448923036550354, 315.1582921098499, 30.89685354921194, 223.23723265776925, 30.599939929941034, 145.18512960823887, 32.50096009598761, 62.68681013016298, 33.2883158429522, 328.3220384268956, 33.10812971496645, 243.3681013056619, 34.00583451874326, 157.73541428512306, 34.51325939953719, 66.38196335542673, 34.23665312044746, 334.8041582620182, 33.74313945516419, 247.66803100439284, 33.64175670224555, 158.27764122951618, 32.70029330927456, 67.01070771704968, 31.11071847564378, 340.4377670944427, 29.52540873191615, 258.49847370011565, 28.524830444062967, 181.04164565663254, 28.60476318155918, 102.38332682508344, 28.374277412838154, 18.867428461534313, 28.043402130412186, 294.33835692870764, 27.687155562440573, 208.62191011281016, 27.195408567554917, 118.77053359141311, 26.14234407625564, 29.31351800430132, 24.337694790122896, 299.6641158461251, 22.071250362994395, 207.36071065634619, 18.35795068027629, 119.00103669796785, 13.238306349621524, 38.048339314446, 7.856915367244065, 341.7215586746024
18.521731104495235, 350.065287282243, 19.137088733380693, 270.5707096545307, 20.725465242844923, 193.14001757566638, 22.38967759915271, 110.85296277760254, 24.281249717834417, 25.744630124457355, 25.739453941663378, 299.62893801385803, 27.368677482161917, 211.60609859588183, 27.752397853966908, 121.52388210893461, 28.42521442762305, 38.867539629777475, 29.957815216959936, 311.15730406414843, 30.290410516723973, 220.5125864039165, 30.254494968780552, 135.79950344383786, 30.90847054528338, 54.15661636791545, 31.77557988888819, 326.4372454755814, 32.08256666293427, 240.41394985416372, 32.76197034507331, 156.23760500509516, 33.49682827439941, 66.570613090721, 33.31618423756838, 338.5553017671976, 33.42816912359702, 253.9416391582197, 33.715352308273204, 167.83415452119223, 34.272418153779554, 78.17409804156263, 33.89737580211788, 345.11442349141817, 32.637007681640455, 257.35099172928165, 31.992242054835547, 173.69431841116688, 31.43111678381908, 88.0650748946984, 30.971376769694324, 2.262131962310604, 30.103559066035267, 274.54994372722126, 28.80820879240474, 190.59465152246872, 28.453805249254692, 109.89626987260323, 28.47490063043083, 18.734099054798694, 27.281282345619378, 284.2665932974737, 24.796405470565503, 193.1879092118358, 22.22648157667807, 107.52128247535313, 19.96231886609713, 18.803027105166024, 15.59694860333632, 289.4490836016643, 11.158690634304303, 215.64868498268973
19.286356007868143, 229.18732423873615, 20.317413359535085, 145.50856744237137, 21.583579256398178, 61.3195678307487, 22.62190166486747, 337.933136530263, 24.0602454541866, 254.81246425327186, 25.643618931606706, 170.3741254735391, 26.936228257693607, 85.40923787967004, 28.255393469916772, 0.8603512210554701, 29.95571703232229, 274.2896762712371, 31.448759847578977, 184.61614998002315, 32.58066696872192, 94.37559386368844, 33.129894496200556, 3.0863651283739917, 33.863817413628986, 276.5338128765807, 34.95244276889969, 183.72229302965195, 34.686062235751685, 91.7667612182229, 34.90866024481027, 4.714179937910655, 35.30818000995521, 272.56509525513263, 34.43840415379844, 178.51222238092615, 33.44526947279062, 93.16154905062439, 33.13563392447742, 9.380443603143641, 33.03774774905349, 280.48801367315315, 31.927259563410676, 190.53889965332354, 30.67350548185725, 105.85864152723099, 29.59033784769208, 22.80686134397139, 28.87564648857619, 299.9965678491909, 27.95584572587981, 216.6220084977109, 26.814530115583196, 133.67957270474884, 26.27412012572663, 53.49149461109822, 25.75909938406234, 327.00263914254054, 24.53920883960308, 235.82747031945797, 22.23088210534781, 150.30307448988282, 19.937785011890444, 69.87106055154803, 18.330425928249024, 348.4450813864804, 15.67587826495834, 258.19945922070315, 9.922469477899845, 177.09984302970656, 4.414926891739822, 136.8754151395228
19.774292662515037, 176.883520350262, 21.155890209815887, 93.47752493800513, 22.69494948515948, 9.517600606277826, 24.09863302055576, 282.8005426337111, 25.53327689576364, 195.4713839158175, 26.701259170991854, 106.93672396831485, 27.596846012414588, 20.09054570170488, 28.354792197658142, 291.9159803729254, 28.81532304972728, 209.1905036593646, 30.63194880374702, 123.37243962542767, 31.38712465821513, 27.81623597736623, 30.50395830542044, 301.09284997901426, 31.36018225637253, 221.0990437620189, 31.867977204961335, 127.47117993108216, 31.42600237642085, 44.08360632787951, 32.12722012611994, 321.3887842656338, 32.44032732830162, 230.5286625655046, 32.0394727759198, 143.46760351436365, 31.673075106071884, 59.88630925812898, 31.653931259917233, 335.0299442221249, 31.679260245507777, 249.30443806623734, 31.304376244014783, 161.60450148276794, 30.405640031295707, 77.2719168536117, 30.027126170331478, 355.528749105992, 29.93668241126911, 272.58329834717773, 30.075337208782553, 186.97430428778344, 29.489814755629453, 96.08695223306057, 28.04316701056006, 10.515980634042238, 27.09207930789949, 286.45019671260764, 26.004718867699886, 202.88387786781945, 25.267388543493485, 121.72953562953285, 25.185297516338192, 33.20917293068115, 23.82796236523984, 297.6711161442265, 21.00853128442761, 204.41684787264032, 17.684786139152333, 116.2316373233666, 12.94389218712184, 33.32181106293005
21.120055185257552, 62.46367828705772, 22.942755197160928, 337.14440028701597, 24.59202967711817, 249.62558257525262, 26.215380381495663, 158.9338492141888, 27.110354885499476, 65.894256652835, 27.397907627261997, 336.81597907538014, 27.833208788266134, 249.51718342952003, 27.646515953125398, 161.76366121791676, 27.59590952250745, 80.91011285168123, 28.485760287862142, 359.2983008443635, 29.015371303753085, 270.9331897030249, 28.88574278611602, 186.2601838847859, 28.94684246087138, 106.20488847672388, 29.85980438143413, 23.46534386656672, 30.358309919668045, 298.23486182341475, 30.687189435217547, 214.38296200406486, 31.40755390188993, 131.11357442944026, 32.00242411965456, 42.64816775568404, 32.03712454245645, 315.53969504783925, 32.05286299768702, 228.19386625938554, 31.677734322997612, 142.0989783322257, 31.550801001952706, 55.07741846874442, 31.014974773323818, 327.70437504965446, 30.300331262091543, 243.4675567875952, 30.153331985570404, 157.14378399913454, 29.486223663593947, 70.29373456582469, 28.435193247800065, 339.8079041647339, 26.39440138982021, 253.7257845362445, 23.66955403129273, 176.58811349762004, 23.607752554116153, 105.93684944105463, 24.841966903376672, 23.08287902530844, 24.407521222931848, 286.1830371410738, 22.352248425800568, 188.79488377742388, 18.869889218642356, 94.89884127122954, 13.308107944183211, 3.149466330259316, 5.4671387643637015, 302.5748434539994
